Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
1,2021-01-14,Carolina Hurricanes,0.0,3.0,L,14.0,11.0,43.0,9
2,2021-01-16,Carolina Hurricanes,4.0,2.0,W,21.0,10.0,31.0,4
3,2021-01-18,Columbus Blue Jackets,2.0,3.0,L,37.0,22.0,29.0,24
4,2021-01-19,Columbus Blue Jackets,3.0,2.0,W,27.0,4.0,24.0,2
5,2021-01-22,Chicago Blackhawks,1.0,4.0,L,31.0,10.0,28.0,10
6,2021-01-24,Chicago Blackhawks,2.0,6.0,L,27.0,4.0,35.0,10
7,2021-01-26,Dallas Stars,1.0,2.0,L,21.0,8.0,22.0,6
8,2021-01-28,Dallas Stars,3.0,7.0,L,23.0,6.0,29.0,14
9,2021-01-30,Florida Panthers,2.0,3.0,L,27.0,6.0,26.0,8
10,2021-01-31,Florida Panthers,2.0,3.0,L,34.0,10.0,30.0,8
11,2021-02-03,Tampa Bay Lightning,1.0,5.0,L,16.0,8.0,27.0,8
12,2021-02-05,Tampa Bay Lightning,1.0,3.0,L,28.0,6.0,32.0,4
13,2021-02-07,Florida Panthers,4.0,1.0,W,39.0,11.0,37.0,9
14,2021-02-09,Florida Panthers,1.0,2.0,L,32.0,2.0,22.0,6
15,2021-02-11,Nashville Predators,2.0,3.0,L,26.0,8.0,23.0,8
16,2021-02-13,Nashville Predators,4.0,2.0,W,30.0,4.0,23.0,8
17,2021-02-15,Chicago Blackhawks,2.0,3.0,L,29.0,6.0,24.0,4
18,2021-02-17,Chicago Blackhawks,0.0,2.0,L,29.0,8.0,26.0,8
19,2021-02-19,Florida Panthers,2.0,7.0,L,32.0,4.0,39.0,8
20,2021-02-20,Florida Panthers,2.0,1.0,W,27.0,6.0,39.0,4
21,2021-02-23,Nashville Predators,0.0,2.0,L,24.0,8.0,33.0,2
22,2021-02-25,Nashville Predators,5.0,2.0,W,32.0,8.0,39.0,8
23,2021-02-27,Chicago Blackhawks,5.0,3.0,W,32.0,2.0,36.0,2
24,2021-02-28,Chicago Blackhawks,2.0,7.0,L,46.0,6.0,32.0,6
25,2021-03-02,Columbus Blue Jackets,1.0,4.0,L,20.0,10.0,36.0,6
26,2021-03-04,Carolina Hurricanes,2.0,5.0,L,35.0,4.0,32.0,8
27,2021-03-09,Tampa Bay Lightning,3.0,4.0,L,23.0,11.0,29.0,11
28,2021-03-11,Tampa Bay Lightning,6.0,4.0,W,23.0,17.0,44.0,13
29,2021-03-14,Carolina Hurricanes,1.0,2.0,L,26.0,2.0,32.0,4
30,2021-03-16,Carolina Hurricanes,4.0,2.0,W,28.0,6.0,37.0,12
31,2021-03-18,Dallas Stars,3.0,2.0,W,21.0,8.0,40.0,4
32,2021-03-20,Dallas Stars,0.0,3.0,L,21.0,6.0,33.0,4
33,2021-03-23,Nashville Predators,0.0,2.0,L,31.0,6.0,34.0,8
34,2021-03-25,Nashville Predators,1.0,7.0,L,21.0,8.0,30.0,8
35,2021-03-27,Columbus Blue Jackets,3.0,1.0,W,34.0,6.0,22.0,8
36,2021-03-28,Columbus Blue Jackets,4.0,1.0,W,29.0,4.0,17.0,4
37,2021-03-30,Florida Panthers,1.0,4.0,L,36.0,8.0,33.0,8
38,2021-04-01,Florida Panthers,2.0,3.0,L,27.0,20.0,36.0,16
39,2021-04-03,Tampa Bay Lightning,1.0,2.0,L,26.0,6.0,29.0,4
40,2021-04-04,Tampa Bay Lightning,5.0,1.0,W,18.0,6.0,28.0,4
41,2021-04-06,Nashville Predators,2.0,3.0,L,27.0,10.0,31.0,6
42,2021-04-08,Nashville Predators,1.0,7.0,L,26.0,11.0,32.0,23
43,2021-04-10,Carolina Hurricanes,5.0,4.0,W,28.0,4.0,34.0,4
44,2021-04-12,Carolina Hurricanes,3.0,1.0,W,30.0,8.0,38.0,10
45,2021-04-15,Chicago Blackhawks,4.0,1.0,W,28.0,6.0,25.0,2
46,2021-04-17,Chicago Blackhawks,0.0,4.0,L,29.0,4.0,27.0,12
47,2021-04-19,Dallas Stars,2.0,3.0,L,22.0,4.0,36.0,2
48,2021-04-20,Dallas Stars,2.0,5.0,L,26.0,11.0,24.0,11
49,2021-04-22,Dallas Stars,7.0,3.0,W,23.0,8.0,46.0,2
50,2021-04-24,Dallas Stars,1.0,2.0,L,17.0,8.0,52.0,2
51,2021-04-27,Columbus Blue Jackets,0.0,1.0,L,41.0,6.0,33.0,4
52,2021-04-29,Carolina Hurricanes,1.0,3.0,L,17.0,6.0,32.0,2
53,2021-05-01,Tampa Bay Lightning,1.0,0.0,W,15.0,10.0,33.0,8
54,2021-05-02,Tampa Bay Lightning,1.0,2.0,L,23.0,4.0,42.0,8
55,2021-05-07,Columbus Blue Jackets,5.0,2.0,W,36.0,2.0,24.0,4
56,2021-05-08,Columbus Blue Jackets,4.0,5.0,L,37.0,0.0,36.0,2
