,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2019-10-05,Nashville Predators,5,3,W,,,28,4,0,2,0,,42,4,1,2,0
2,2019-10-06,Dallas Stars,4,3,W,,,33,4,1,8,0,,22,16,0,2,0
3,2019-10-08,Anaheim Ducks,1,3,L,,,32,6,0,2,0,,29,4,0,3,0
4,2019-10-10,Montreal Canadiens,4,2,W,,,34,6,1,2,0,,35,4,1,3,0
5,2019-10-12,Toronto Maple Leafs,2,5,L,,,27,6,0,1,0,,41,2,0,3,0
6,2019-10-15,Vancouver Canucks,1,5,L,,,27,24,0,3,0,,32,20,3,5,0
7,2019-10-17,Calgary Flames,1,5,L,,,28,21,0,2,0,,36,6,2,5,0
8,2019-10-18,Edmonton Oilers,1,2,L,,,26,4,0,1,0,,37,2,0,2,0
9,2019-10-22,Vancouver Canucks,2,5,L,,,33,12,2,7,0,,41,16,1,5,1
10,2019-10-23,Ottawa Senators,2,5,L,,,36,4,0,5,0,,38,10,0,2,1
11,2019-10-25,Buffalo Sabres,0,2,L,,,41,6,0,3,0,,25,6,1,3,0
12,2019-10-27,St. Louis Blues,4,5,L,OT,,33,8,1,3,0,,20,6,2,4,0
13,2019-10-29,Edmonton Oilers,3,1,W,,,28,8,1,3,0,,32,8,0,3,0
14,2019-11-01,Carolina Hurricanes,3,7,L,,,32,8,1,5,0,,34,12,1,3,1
15,2019-11-02,Florida Panthers,0,4,L,,,22,4,0,3,0,,41,6,1,2,0
16,2019-11-04,Nashville Predators,1,6,L,,,24,13,0,3,0,,26,11,2,4,0
17,2019-11-06,New York Rangers,1,5,L,,,36,6,0,2,0,,31,4,2,3,1
18,2019-11-08,Boston Bruins,4,2,W,,,32,13,2,5,0,,28,15,1,4,0
19,2019-11-10,Vegas Golden Knights,3,2,W,,,19,4,1,2,0,,19,4,0,2,0
20,2019-11-12,Anaheim Ducks,4,3,W,OT,,36,13,1,4,0,,27,17,0,2,0
21,2019-11-14,Los Angeles Kings,2,3,L,OT,,21,6,0,1,0,,31,2,0,3,0
22,2019-11-16,San Jose Sharks,3,4,L,SO,,28,6,0,3,0,,19,6,1,3,0
23,2019-11-19,Ottawa Senators,3,4,L,,,38,10,0,3,1,,33,8,0,4,0
24,2019-11-21,Columbus Blue Jackets,4,5,L,,,26,10,0,3,1,,37,6,2,5,0
25,2019-11-23,New Jersey Devils,1,5,L,,,20,15,0,4,0,,34,15,0,4,0
26,2019-11-24,Carolina Hurricanes,0,2,L,,,19,4,0,1,0,,36,2,0,2,1
27,2019-11-27,Toronto Maple Leafs,0,6,L,,,25,2,0,0,0,,54,0,1,1,0
28,2019-11-29,Philadelphia Flyers,1,6,L,,,33,6,0,3,0,,35,6,1,3,0
29,2019-11-30,Washington Capitals,2,5,L,,,27,6,1,4,0,,34,8,1,3,0
30,2019-12-02,New York Islanders,1,4,L,,,31,10,1,6,0,,25,12,1,5,0
31,2019-12-07,Pittsburgh Penguins,3,5,L,,,28,4,2,3,0,,28,6,1,2,0
32,2019-12-10,Winnipeg Jets,1,5,L,,,17,18,0,4,0,,30,16,1,5,1
