,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
33,2019-12-12,Winnipeg Jets,5,2,W,,,34,2,2,4,0,,28,8,0,1,0
34,2019-12-14,Montreal Canadiens,2,1,W,,,20,6,1,4,0,,43,12,0,1,0
35,2019-12-15,Los Angeles Kings,2,4,L,,,24,6,0,3,0,,32,6,0,3,0
36,2019-12-17,Columbus Blue Jackets,3,5,L,,,21,4,1,3,0,,39,6,1,2,0
37,2019-12-21,Toronto Maple Leafs,1,4,L,,,30,17,1,2,0,,23,23,1,3,0
38,2019-12-22,Arizona Coyotes,2,5,L,,,30,0,0,3,0,,45,6,0,0,0
39,2019-12-28,Florida Panthers,4,5,L,,,39,8,0,2,1,,30,6,2,3,0
40,2019-12-29,Tampa Bay Lightning,1,2,L,,,20,8,0,2,0,,39,4,1,4,0
41,2019-12-31,San Jose Sharks,2,0,W,,,23,13,0,2,0,,34,11,0,3,0
42,2020-01-03,Dallas Stars,1,4,L,,,23,8,0,5,0,,27,10,1,4,2
43,2020-01-05,Chicago Blackhawks,2,4,L,,,21,6,1,3,0,,27,6,0,3,0
44,2020-01-07,Montreal Canadiens,4,3,W,,,30,10,0,4,0,,26,8,1,5,1
45,2020-01-10,Ottawa Senators,3,2,W,SO,,28,8,1,4,0,,31,10,1,3,0
46,2020-01-12,Buffalo Sabres,1,5,L,,,22,8,0,3,0,,27,6,2,4,1
47,2020-01-14,New York Islanders,2,8,L,,,36,4,0,2,0,,26,6,0,1,0
48,2020-01-17,Pittsburgh Penguins,1,2,L,OT,,29,8,1,4,0,,37,8,2,4,0
49,2020-01-18,Florida Panthers,1,4,L,,,28,27,0,7,0,,38,19,1,6,0
50,2020-01-20,Colorado Avalanche,3,6,L,,,25,10,0,2,0,,46,4,1,5,0
51,2020-01-22,Minnesota Wild,2,4,L,,,27,0,1,2,0,,33,4,0,0,0
52,2020-01-31,New York Rangers,2,4,L,,,25,6,0,0,0,,39,0,1,3,0
53,2020-02-01,New York Rangers,0,1,L,,,33,6,0,2,0,,31,6,1,2,0
54,2020-02-03,Philadelphia Flyers,0,3,L,,,16,4,0,2,0,,31,4,0,2,2
55,2020-02-06,Buffalo Sabres,4,3,W,SO,,21,10,1,4,0,,32,10,0,4,0
56,2020-02-07,Columbus Blue Jackets,0,2,L,,,16,8,0,2,0,,44,4,0,3,0
57,2020-02-09,Boston Bruins,3,1,W,,,20,8,1,3,0,,40,6,0,4,0
58,2020-02-11,Buffalo Sabres,2,3,L,,,29,6,0,3,0,,25,6,0,3,0
59,2020-02-13,New Jersey Devils,1,4,L,,,26,12,1,4,0,,26,8,1,6,0
60,2020-02-15,Boston Bruins,1,4,L,,,26,9,0,3,1,,41,11,0,2,1
61,2020-02-16,Pittsburgh Penguins,1,5,L,,,28,4,0,0,0,,35,0,1,2,0
62,2020-02-18,Montreal Canadiens,4,3,W,,,25,6,0,3,0,,22,6,2,3,0
63,2020-02-21,New York Islanders,1,4,L,,,22,10,1,2,0,,40,4,1,5,0
64,2020-02-23,Calgary Flames,2,4,L,,,29,4,0,2,0,,31,4,0,2,0
65,2020-02-25,New Jersey Devils,1,4,L,,,28,20,1,4,0,,31,31,2,5,1
66,2020-02-27,Minnesota Wild,1,7,L,,,26,8,0,3,0,,26,6,1,4,0
67,2020-02-29,Ottawa Senators,3,4,L,SO,,28,10,1,2,0,,39,4,1,5,0
68,2020-03-02,Colorado Avalanche,1,2,L,,,18,8,0,4,0,,27,8,0,4,0
69,2020-03-06,Chicago Blackhawks,2,1,W,,,25,6,1,2,0,,33,4,0,3,0
70,2020-03-08,Tampa Bay Lightning,5,4,W,SO,,28,6,1,3,0,,37,6,1,3,0
71,2020-03-10,Carolina Hurricanes,2,5,L,,,25,24,0,5,0,,36,26,3,4,1
