,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
52,2020-01-21,Boston Bruins,2,3,L,,,29,10,1,2,0,,37,4,0,5,0
53,2020-01-31,Carolina Hurricanes,4,3,W,,,37,4,1,3,0,,25,6,1,2,0
54,2020-02-01,Nashville Predators,3,0,W,,,39,10,0,4,0,,19,8,0,5,0
55,2020-02-04,Tampa Bay Lightning,2,4,L,,,29,4,0,3,0,,18,8,0,1,0
56,2020-02-06,Florida Panthers,7,2,W,,,39,8,1,5,1,,25,12,1,3,0
57,2020-02-08,Carolina Hurricanes,5,6,L,SO,,38,8,0,2,1,,34,4,2,4,0
58,2020-02-11,Minnesota Wild,0,4,L,,,26,12,0,4,0,,25,10,3,5,0
59,2020-02-13,St. Louis Blues,6,5,W,OT,,52,6,4,5,0,,24,12,0,2,0
60,2020-02-15,New York Islanders,1,0,W,,,43,14,0,3,0,,19,16,0,2,0
61,2020-02-17,Washington Capitals,3,2,W,,,29,6,0,2,0,,27,4,1,3,0
62,2020-02-20,Tampa Bay Lightning,5,3,W,,,33,8,1,4,0,,27,8,2,4,0
63,2020-02-22,Florida Panthers,5,3,W,,,39,8,0,2,0,,35,6,1,3,0
64,2020-02-23,Anaheim Ducks,6,5,W,OT,,28,4,0,1,0,,30,2,0,2,0
65,2020-02-26,Edmonton Oilers,3,0,W,,,33,6,1,3,0,,29,6,0,3,0
66,2020-02-28,Buffalo Sabres,4,2,W,,,28,2,0,0,0,,34,0,0,1,0
67,2020-03-01,Los Angeles Kings,1,4,L,,,43,6,1,4,0,,17,10,2,2,0
68,2020-03-03,New Jersey Devils,3,0,W,,,32,6,0,1,0,,27,2,0,3,0
69,2020-03-06,Winnipeg Jets,0,4,L,,,29,4,0,1,0,,24,2,2,2,0
70,2020-03-08,Calgary Flames,5,3,W,,,32,2,1,1,0,,22,2,1,1,0
71,2020-03-09,Edmonton Oilers,3,2,W,OT,,48,0,1,2,0,,24,4,0,0,0
