,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2019-10-02,San Jose Sharks,4,1,W,,,35,10,1,4,1,,22,8,0,5,0
2,2019-10-04,San Jose Sharks,5,1,W,,,29,40,0,3,2,,35,36,0,5,0
3,2019-10-08,Boston Bruins,3,4,L,,,34,6,2,3,0,,35,6,1,3,0
4,2019-10-10,Arizona Coyotes,1,4,L,,,38,4,0,4,0,,29,8,0,2,0
5,2019-10-12,Calgary Flames,6,2,W,,,30,8,0,3,0,,35,6,0,4,0
6,2019-10-13,Los Angeles Kings,5,2,W,,,36,6,3,3,0,,38,6,0,3,0
7,2019-10-15,Nashville Predators,2,5,L,,,35,20,1,4,0,,39,18,1,5,0
8,2019-10-17,Ottawa Senators,3,2,W,SO,,54,13,1,3,0,,39,11,0,4,0
9,2019-10-19,Pittsburgh Penguins,3,0,W,,,24,8,1,3,1,,29,6,0,4,0
10,2019-10-21,Philadelphia Flyers,2,6,L,,,35,10,1,5,0,,37,10,2,5,0
11,2019-10-22,Chicago Blackhawks,2,1,W,SO,,34,8,0,5,0,,32,10,0,4,0
12,2019-10-25,Colorado Avalanche,1,6,L,,,26,8,0,4,0,,40,10,1,3,1
13,2019-10-27,Anaheim Ducks,5,2,W,,,49,2,2,4,0,,15,8,0,1,0
14,2019-10-31,Montreal Canadiens,4,5,L,OT,,35,6,0,1,0,,29,2,0,3,0
15,2019-11-02,Winnipeg Jets,3,4,L,OT,,26,13,1,3,0,,39,11,1,4,0
16,2019-11-05,Columbus Blue Jackets,2,1,W,,,25,8,0,3,1,,30,6,0,4,0
17,2019-11-07,Toronto Maple Leafs,1,2,L,OT,,38,12,0,5,0,,37,10,1,6,0
18,2019-11-09,Washington Capitals,2,5,L,,,32,14,1,4,0,,34,10,1,6,0
19,2019-11-10,Detroit Red Wings,2,3,L,,,19,4,0,2,0,,19,4,1,2,0
20,2019-11-13,Chicago Blackhawks,3,5,L,,,42,4,1,2,0,,26,6,0,1,0
21,2019-11-16,Los Angeles Kings,3,4,L,,,31,4,0,3,0,,25,6,1,2,1
22,2019-11-17,Calgary Flames,6,0,W,,,37,12,1,3,0,,34,14,0,2,0
23,2019-11-19,Toronto Maple Leafs,4,2,W,,,37,4,2,2,0,,33,4,1,2,0
24,2019-11-21,San Jose Sharks,1,2,L,OT,,38,4,0,3,0,,29,6,0,2,0
25,2019-11-23,Edmonton Oilers,2,4,L,,,27,6,0,0,0,,31,0,1,3,0
26,2019-11-25,Dallas Stars,2,4,L,,,28,8,0,4,0,,28,10,2,3,0
27,2019-11-27,Nashville Predators,4,3,W,OT,,30,4,0,2,0,,34,4,0,2,0
28,2019-11-29,Arizona Coyotes,2,1,W,SO,,38,4,1,5,0,,36,10,0,1,0
29,2019-12-02,New York Rangers,4,1,W,,,32,12,2,2,0,,30,6,0,6,0
30,2019-12-03,New Jersey Devils,4,3,W,,,30,6,1,3,0,,35,8,0,2,0
31,2019-12-05,New York Islanders,2,3,L,OT,,33,4,0,1,0,,31,2,1,2,0
32,2019-12-08,New York Rangers,0,5,L,,,38,15,0,4,0,,25,13,2,5,0
33,2019-12-10,Chicago Blackhawks,5,1,W,,,37,8,1,2,1,,29,4,1,4,0
34,2019-12-12,St. Louis Blues,2,4,L,,,29,0,0,3,0,,29,6,0,0,0
35,2019-12-13,Dallas Stars,3,2,W,OT,,32,4,0,2,0,,30,4,0,2,0
36,2019-12-15,Vancouver Canucks,6,3,W,,,46,8,2,4,0,,29,12,1,2,0
37,2019-12-17,Minnesota Wild,3,2,W,,,29,10,0,1,0,,26,2,1,5,0
38,2019-12-19,Vancouver Canucks,4,5,L,OT,,43,14,0,1,0,,34,6,1,5,0
39,2019-12-22,San Jose Sharks,3,1,W,,,37,10,0,3,0,,38,10,0,3,0
40,2019-12-23,Colorado Avalanche,3,7,L,,,32,17,0,1,0,,38,9,2,5,1
41,2019-12-27,Anaheim Ducks,3,4,L,,,29,10,0,2,0,,18,8,2,3,0
42,2019-12-28,Arizona Coyotes,4,1,W,,,36,15,2,3,0,,28,11,0,5,0
43,2019-12-31,Anaheim Ducks,5,2,W,,,43,9,0,1,0,,28,7,0,2,0
44,2020-01-02,Philadelphia Flyers,5,4,W,,,33,6,1,1,0,,38,2,1,3,0
45,2020-01-04,St. Louis Blues,5,4,W,OT,,33,12,0,2,0,,31,10,2,3,0
46,2020-01-07,Pittsburgh Penguins,3,4,L,,,34,4,1,3,0,,16,6,1,2,0
47,2020-01-09,Los Angeles Kings,2,5,L,,,46,2,0,1,0,,23,2,1,1,0
48,2020-01-11,Columbus Blue Jackets,0,3,L,,,27,4,0,3,0,,22,6,1,2,0
49,2020-01-14,Buffalo Sabres,2,4,L,,,26,8,1,3,0,,26,8,2,3,0
50,2020-01-16,Ottawa Senators,4,2,W,,,43,8,0,1,1,,35,2,1,4,0
51,2020-01-18,Montreal Canadiens,4,5,L,SO,,34,2,0,2,0,,32,4,0,1,0
