,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
53,2022-02-26,Toronto Maple Leafs,7,10,L,,,33,0,0,3,0,,39,6,0,0,1
54,2022-03-01,Carolina Hurricanes,4,3,W,OT,,41,4,1,4,0,,30,8,1,2,0
55,2022-03-04,Tampa Bay Lightning,1,3,L,,,23,8,0,2,0,,38,4,3,4,0
56,2022-03-05,Florida Panthers,2,6,L,,,25,6,0,2,0,,39,4,2,3,0
57,2022-03-08,Arizona Coyotes,2,9,L,,,28,8,2,4,0,,30,14,0,1,0
58,2022-03-10,Minnesota Wild,5,6,L,SO,,34,8,1,4,0,,40,14,1,1,0
59,2022-03-12,Calgary Flames,0,3,L,,,19,11,0,2,0,,43,9,2,3,0
60,2022-03-15,Edmonton Oilers,5,7,L,,,35,8,1,1,0,,32,4,1,3,0
61,2022-03-17,Vancouver Canucks,1,0,W,,,35,16,0,1,0,,43,2,0,3,0
62,2022-03-19,Seattle Kraken,2,4,L,,,23,15,1,1,0,,42,7,0,5,0
63,2022-03-22,Philadelphia Flyers,6,3,W,,,31,14,0,0,0,,33,10,0,2,0
64,2022-03-24,New York Islanders,2,5,L,,,39,2,0,3,0,,26,6,1,1,0
65,2022-03-26,Tampa Bay Lightning,1,2,L,OT,,27,6,0,5,0,,36,10,2,3,0
66,2022-03-27,Pittsburgh Penguins,2,11,L,,,35,12,1,5,0,,35,10,3,6,1
67,2022-03-30,New York Rangers,4,5,L,OT,,26,4,2,3,0,,34,6,1,2,0
68,2022-04-01,Ottawa Senators,2,5,L,,,29,6,0,5,0,,32,12,1,2,1
69,2022-04-03,Ottawa Senators,2,5,L,,,32,8,0,2,0,,36,4,1,4,0
70,2022-04-05,Boston Bruins,5,3,W,,,29,22,1,5,0,,50,34,0,4,1
71,2022-04-06,Winnipeg Jets,3,1,W,,,35,6,0,4,1,,33,8,0,3,0
72,2022-04-09,Columbus Blue Jackets,4,5,L,OT,,38,14,0,1,0,,33,6,0,5,0
73,2022-04-12,Ottawa Senators,1,4,L,,,25,4,1,4,0,,32,8,0,2,0
74,2022-04-14,Carolina Hurricanes,3,0,W,,,22,8,0,1,0,,46,4,0,3,0
75,2022-04-16,New York Rangers,0,4,L,,,20,8,0,1,0,,37,2,1,4,0
76,2022-04-17,Florida Panthers,1,6,L,,,34,4,0,3,0,,39,6,0,2,1
77,2022-04-19,Tampa Bay Lightning,4,3,W,,,31,6,0,2,0,,41,4,1,3,0
78,2022-04-21,Florida Panthers,2,5,L,,,30,23,0,2,0,,27,8,2,4,0
79,2022-04-23,Pittsburgh Penguins,2,7,L,,,25,2,1,2,0,,38,6,1,1,0
80,2022-04-24,New Jersey Devils,3,0,W,,,24,4,0,3,0,,17,6,0,2,0
81,2022-04-26,Toronto Maple Leafs,0,3,L,,,20,4,0,3,0,,36,6,1,2,0
82,2022-04-29,New Jersey Devils,5,3,W,,,35,2,0,2,0,,23,4,0,1,0
