,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2021-10-14,Tampa Bay Lightning,6,7,L,OT,,26,26,1,5,0,,48,20,3,7,0
2,2021-10-16,Vancouver Canucks,3,1,W,,,21,26,1,2,0,,41,24,0,3,0
3,2021-10-19,Columbus Blue Jackets,4,1,W,,,45,8,0,4,0,,23,8,1,4,0
4,2021-10-21,Calgary Flames,0,3,L,,,33,9,0,3,0,,29,11,0,2,0
5,2021-10-23,Montreal Canadiens,1,6,L,,,27,8,1,3,0,,24,6,1,4,0
6,2021-10-24,Chicago Blackhawks,6,3,W,,,37,12,1,8,0,,35,16,1,5,0
7,2021-10-27,Washington Capitals,3,2,W,OT,,25,8,0,2,0,,28,4,2,4,0
8,2021-10-29,Florida Panthers,2,3,L,OT,,30,6,0,4,0,,33,8,0,3,0
9,2021-10-30,Toronto Maple Leafs,4,5,L,,,31,4,1,2,0,,38,4,1,2,0
10,2021-11-02,Montreal Canadiens,0,3,L,,,22,2,0,2,0,,41,4,0,1,0
11,2021-11-04,Boston Bruins,1,5,L,,,15,12,1,4,0,,37,10,3,5,1
12,2021-11-06,Buffalo Sabres,4,3,W,OT,,33,4,0,1,0,,32,2,1,2,0
13,2021-11-07,Vegas Golden Knights,5,2,W,,,30,6,2,4,0,,40,8,0,3,0
14,2021-11-09,Edmonton Oilers,4,2,W,,,39,4,0,2,0,,33,4,0,2,0
15,2021-11-11,Washington Capitals,0,2,L,,,21,8,0,4,0,,29,8,0,4,0
16,2021-11-13,Montreal Canadiens,3,2,W,OT,,33,8,0,2,0,,37,6,0,3,0
17,2021-11-15,Columbus Blue Jackets,3,5,L,,,27,8,0,1,0,,38,4,0,3,0
18,2021-11-16,Dallas Stars,2,5,L,,,30,2,1,1,0,,30,2,0,1,0
19,2021-11-18,Vegas Golden Knights,2,5,L,,,28,9,0,1,0,,32,7,0,2,0
20,2021-11-20,Arizona Coyotes,1,2,L,OT,,34,2,0,2,0,,29,4,0,1,0
21,2021-11-24,St. Louis Blues,4,2,W,,,23,6,0,0,0,,37,0,1,3,0
22,2021-11-27,Buffalo Sabres,3,2,W,OT,,41,2,0,3,0,,28,8,0,0,0
23,2021-11-30,Boston Bruins,2,1,W,,,16,8,0,1,0,,42,4,1,3,0
24,2021-12-01,Seattle Kraken,4,3,W,SO,,26,6,1,3,0,,24,6,1,3,0
25,2021-12-04,New York Islanders,4,3,W,OT,,30,11,0,3,0,,23,21,2,3,1
26,2021-12-07,Nashville Predators,2,5,L,,,16,16,1,2,0,,33,14,1,2,0
27,2021-12-09,St. Louis Blues,2,6,L,,,31,6,0,1,0,,26,2,0,3,0
28,2021-12-10,Colorado Avalanche,3,7,L,,,40,6,1,4,0,,47,8,0,3,0
29,2021-12-14,New York Islanders,2,1,W,,,39,2,1,3,0,,34,6,0,1,0
30,2021-12-16,Carolina Hurricanes,3,5,L,,,26,2,0,3,0,,33,6,1,1,0
31,2021-12-18,New Jersey Devils,5,2,W,,,30,6,0,3,0,,33,8,0,2,1
32,2021-12-31,Washington Capitals,1,3,L,,,20,8,0,3,0,,27,8,1,3,0
33,2022-01-02,Boston Bruins,1,5,L,,,24,15,0,4,0,,37,17,0,3,0
34,2022-01-04,San Jose Sharks,6,2,W,,,31,38,0,3,2,,26,25,0,3,0
35,2022-01-08,Los Angeles Kings,0,4,L,,,21,11,0,2,0,,42,9,0,3,1
36,2022-01-09,Anaheim Ducks,3,4,L,SO,,36,19,1,4,0,,27,13,1,2,0
37,2022-01-11,San Jose Sharks,2,3,L,OT,,19,11,1,3,0,,40,11,1,3,0
38,2022-01-13,Winnipeg Jets,0,3,L,,,33,6,0,5,0,,32,14,0,1,1
39,2022-01-15,Buffalo Sabres,4,0,W,,,39,10,2,5,0,,22,10,0,5,0
40,2022-01-17,Buffalo Sabres,3,2,W,OT,,35,8,0,1,1,,28,6,0,2,0
41,2022-01-21,Dallas Stars,4,5,L,OT,,28,10,1,4,0,,32,8,1,5,0
42,2022-01-22,Nashville Predators,1,4,L,,,29,18,0,5,0,,25,22,1,3,0
43,2022-01-26,Chicago Blackhawks,5,8,L,,,33,18,1,3,0,,38,8,2,3,0
44,2022-01-28,Pittsburgh Penguins,3,2,W,SO,,32,8,1,2,0,,38,6,1,3,0
45,2022-01-29,Toronto Maple Leafs,4,7,L,,,35,6,1,1,0,,37,4,1,2,0
46,2022-01-31,Anaheim Ducks,2,1,W,OT,,28,2,0,1,0,,15,4,0,0,0
47,2022-02-02,Los Angeles Kings,3,5,L,,,25,16,0,1,0,,45,14,0,2,0
48,2022-02-09,Philadelphia Flyers,6,3,W,,,34,10,1,3,0,,24,6,0,5,0
49,2022-02-12,Philadelphia Flyers,4,2,W,,,23,6,1,2,0,,34,4,1,3,0
50,2022-02-14,Minnesota Wild,4,7,L,,,34,15,1,6,0,,25,19,3,4,0
51,2022-02-17,New York Rangers,3,2,W,SO,,33,4,0,3,0,,39,8,1,1,0
52,2022-02-23,Colorado Avalanche,2,5,L,,,34,8,1,3,0,,31,8,0,3,0
