Player,Season,Games Played,Goals,Assists,Total Points,+/-
Dylan Larkin (C),18-19,76.0,32.0,41.0,73.0,-6.0
Dylan Larkin (C),19-20,71.0,19.0,34.0,53.0,-21.0
Filip Hronek (D),20-21,56.0,2.0,24.0,26.0,-18.0
Dylan Larkin (C),21-22,71.0,31.0,38.0,69.0,-18.0
Dylan Larkin (C),22-23,80.0,32.0,47.0,79.0,-7.0
