Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
53,2019-02-02,Ottawa Senators,2.0,0.0,W,21.0,4.0,35.0,6
54,2019-02-07,Vegas Golden Knights,3.0,4.0,L,39.0,4.0,32.0,8
55,2019-02-09,Buffalo Sabres,1.0,3.0,L,29.0,6.0,21.0,8
56,2019-02-10,Chicago Blackhawks,2.0,5.0,L,45.0,4.0,36.0,4
57,2019-02-12,Nashville Predators,3.0,2.0,W,27.0,14.0,34.0,8
58,2019-02-14,Ottawa Senators,3.0,2.0,W,29.0,11.0,42.0,13
59,2019-02-16,Philadelphia Flyers,5.0,6.0,L,38.0,6.0,32.0,4
60,2019-02-17,Philadelphia Flyers,1.0,3.0,L,38.0,7.0,23.0,9
61,2019-02-20,Chicago Blackhawks,4.0,5.0,L,35.0,2.0,20.0,8
62,2019-02-22,Minnesota Wild,2.0,3.0,L,28.0,6.0,35.0,4
63,2019-02-24,San Jose Sharks,3.0,5.0,L,23.0,6.0,37.0,4
64,2019-02-26,Montreal Canadiens,1.0,8.0,L,29.0,12.0,34.0,22
65,2019-03-02,Arizona Coyotes,1.0,3.0,L,23.0,8.0,44.0,4
66,2019-03-05,Colorado Avalanche,3.0,4.0,L,23.0,6.0,34.0,6
67,2019-03-07,New York Rangers,3.0,2.0,W,45.0,4.0,34.0,8
68,2019-03-09,Tampa Bay Lightning,2.0,3.0,L,24.0,8.0,33.0,12
69,2019-03-10,Florida Panthers,1.0,6.0,L,20.0,8.0,43.0,4
70,2019-03-12,Montreal Canadiens,1.0,3.0,L,21.0,4.0,36.0,4
71,2019-03-14,Tampa Bay Lightning,4.0,5.0,L,27.0,6.0,39.0,6
72,2019-03-16,New York Islanders,2.0,1.0,W,22.0,4.0,42.0,6
73,2019-03-19,New York Rangers,3.0,2.0,W,30.0,6.0,43.0,2
74,2019-03-21,St. Louis Blues,2.0,5.0,L,22.0,4.0,24.0,2
75,2019-03-23,Vegas Golden Knights,3.0,2.0,W,30.0,6.0,30.0,4
76,2019-03-25,San Jose Sharks,3.0,2.0,W,23.0,8.0,41.0,2
77,2019-03-28,Buffalo Sabres,5.0,4.0,W,34.0,6.0,39.0,6
78,2019-03-29,New Jersey Devils,4.0,0.0,W,33.0,2.0,28.0,2
79,2019-03-31,Boston Bruins,6.0,3.0,W,28.0,13.0,34.0,25
80,2019-04-02,Pittsburgh Penguins,4.0,1.0,W,26.0,4.0,39.0,2
81,2019-04-04,Pittsburgh Penguins,1.0,4.0,L,34.0,22.0,47.0,8
82,2019-04-06,Buffalo Sabres,1.0,7.0,L,24.0,4.0,37.0,6
