Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
1,2018-10-04,Columbus Blue Jackets,2.0,3.0,L,20.0,12.0,39.0,6
2,2018-10-07,Los Angeles Kings,2.0,4.0,L,38.0,25.0,25.0,27
3,2018-10-08,Anaheim Ducks,2.0,3.0,L,21.0,6.0,27.0,4
4,2018-10-11,Toronto Maple Leafs,3.0,5.0,L,29.0,15.0,35.0,13
5,2018-10-13,Boston Bruins,2.0,8.0,L,34.0,14.0,39.0,14
6,2018-10-15,Montreal Canadiens,3.0,7.0,L,28.0,17.0,35.0,11
7,2018-10-18,Tampa Bay Lightning,1.0,3.0,L,30.0,10.0,31.0,12
8,2018-10-20,Florida Panthers,4.0,3.0,W,31.0,10.0,37.0,6
9,2018-10-22,Carolina Hurricanes,1.0,3.0,L,21.0,6.0,39.0,8
10,2018-10-26,Winnipeg Jets,1.0,2.0,L,28.0,10.0,40.0,6
11,2018-10-28,Dallas Stars,4.0,2.0,W,23.0,2.0,30.0,6
12,2018-10-30,Columbus Blue Jackets,5.0,3.0,W,32.0,10.0,37.0,4
13,2018-11-01,New Jersey Devils,4.0,3.0,W,31.0,15.0,28.0,15
14,2018-11-03,Edmonton Oilers,3.0,4.0,L,26.0,2.0,42.0,4
15,2018-11-06,Vancouver Canucks,3.0,2.0,W,30.0,6.0,42.0,4
16,2018-11-09,New York Rangers,3.0,2.0,W,31.0,8.0,30.0,4
17,2018-11-10,Carolina Hurricanes,4.0,3.0,W,32.0,10.0,52.0,4
18,2018-11-13,Arizona Coyotes,6.0,1.0,W,26.0,12.0,25.0,10
19,2018-11-15,Ottawa Senators,1.0,2.0,L,35.0,15.0,36.0,9
20,2018-11-17,New Jersey Devils,3.0,2.0,W,30.0,4.0,40.0,8
21,2018-11-21,Boston Bruins,3.0,2.0,W,27.0,2.0,36.0,0
22,2018-11-23,Washington Capitals,1.0,3.0,L,32.0,6.0,20.0,6
23,2018-11-24,Buffalo Sabres,2.0,3.0,L,37.0,8.0,35.0,8
24,2018-11-26,Columbus Blue Jackets,5.0,7.0,L,32.0,8.0,32.0,6
25,2018-11-28,St. Louis Blues,4.0,3.0,W,31.0,6.0,36.0,4
26,2018-12-01,Boston Bruins,4.0,2.0,W,27.0,19.0,40.0,15
27,2018-12-02,Colorado Avalanche,0.0,2.0,L,24.0,12.0,29.0,14
28,2018-12-04,Tampa Bay Lightning,5.0,6.0,L,24.0,6.0,35.0,6
29,2018-12-06,Toronto Maple Leafs,5.0,4.0,W,32.0,8.0,31.0,4
30,2018-12-08,New York Islanders,2.0,3.0,L,25.0,20.0,19.0,18
31,2018-12-10,Los Angeles Kings,3.0,1.0,W,21.0,2.0,43.0,2
32,2018-12-11,Washington Capitals,2.0,6.0,L,37.0,4.0,25.0,2
33,2018-12-14,Ottawa Senators,2.0,4.0,L,28.0,11.0,32.0,9
34,2018-12-15,New York Islanders,3.0,4.0,L,21.0,12.0,48.0,2
35,2018-12-18,Philadelphia Flyers,2.0,3.0,L,22.0,4.0,33.0,6
36,2018-12-20,Carolina Hurricanes,4.0,1.0,W,24.0,4.0,39.0,2
37,2018-12-22,Florida Panthers,1.0,2.0,L,34.0,6.0,23.0,10
38,2018-12-23,Toronto Maple Leafs,4.0,5.0,L,30.0,4.0,24.0,6
39,2018-12-27,Pittsburgh Penguins,2.0,5.0,L,29.0,6.0,40.0,2
40,2018-12-29,Dallas Stars,1.0,5.0,L,34.0,4.0,42.0,8
41,2018-12-31,Florida Panthers,3.0,4.0,L,20.0,6.0,27.0,4
42,2019-01-02,Calgary Flames,3.0,5.0,L,32.0,10.0,35.0,2
43,2019-01-04,Nashville Predators,4.0,3.0,W,39.0,13.0,30.0,11
44,2019-01-06,Washington Capitals,2.0,3.0,L,25.0,8.0,34.0,10
45,2019-01-08,Montreal Canadiens,2.0,3.0,L,32.0,4.0,25.0,10
46,2019-01-11,Winnipeg Jets,2.0,4.0,L,35.0,6.0,27.0,8
47,2019-01-12,Minnesota Wild,5.0,2.0,W,37.0,6.0,18.0,8
48,2019-01-15,Anaheim Ducks,3.0,1.0,W,25.0,4.0,24.0,0
49,2019-01-18,Calgary Flames,4.0,6.0,L,35.0,6.0,36.0,10
50,2019-01-20,Vancouver Canucks,2.0,3.0,L,37.0,4.0,31.0,6
51,2019-01-22,Edmonton Oilers,3.0,2.0,W,27.0,6.0,34.0,6
52,2019-02-01,Toronto Maple Leafs,3.0,2.0,W,33.0,10.0,21.0,8
