,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2018-10-04,Columbus Blue Jackets,2,3,L,OT,,20,12,1,3,0,,39,6,1,6,0
2,2018-10-07,Los Angeles Kings,2,4,L,,,38,25,2,4,0,,25,27,0,3,0
3,2018-10-08,Anaheim Ducks,2,3,L,SO,,21,6,0,2,0,,27,4,0,3,0
4,2018-10-11,Toronto Maple Leafs,3,5,L,,,29,15,0,3,0,,35,13,2,4,0
5,2018-10-13,Boston Bruins,2,8,L,,,34,14,1,3,1,,39,14,1,3,0
6,2018-10-15,Montreal Canadiens,3,7,L,,,28,17,1,2,0,,35,11,1,5,0
7,2018-10-18,Tampa Bay Lightning,1,3,L,,,30,10,0,5,0,,31,12,0,4,0
8,2018-10-20,Florida Panthers,4,3,W,OT,,31,10,2,3,0,,37,6,0,5,0
9,2018-10-22,Carolina Hurricanes,1,3,L,,,21,6,0,4,0,,39,8,2,3,1
10,2018-10-26,Winnipeg Jets,1,2,L,,,28,10,1,3,0,,40,6,1,5,0
11,2018-10-28,Dallas Stars,4,2,W,,,23,2,0,3,0,,30,6,0,1,0
12,2018-10-30,Columbus Blue Jackets,5,3,W,,,32,10,1,2,1,,37,4,0,5,0
13,2018-11-01,New Jersey Devils,4,3,W,,,31,15,2,5,2,,28,15,2,5,0
14,2018-11-03,Edmonton Oilers,3,4,L,,,26,2,0,2,0,,42,4,0,1,0
15,2018-11-06,Vancouver Canucks,3,2,W,SO,,30,6,1,2,0,,42,4,0,3,0
16,2018-11-09,New York Rangers,3,2,W,OT,,31,8,0,2,0,,30,4,2,4,0
17,2018-11-10,Carolina Hurricanes,4,3,W,SO,,32,10,0,2,0,,52,4,1,5,0
18,2018-11-13,Arizona Coyotes,6,1,W,,,26,12,1,4,0,,25,10,0,5,0
19,2018-11-15,Ottawa Senators,1,2,L,,,35,15,0,2,0,,36,9,1,5,0
20,2018-11-17,New Jersey Devils,3,2,W,OT,,30,4,0,2,0,,40,8,0,0,1
21,2018-11-21,Boston Bruins,3,2,W,OT,,27,2,0,0,0,,36,0,0,1,0
22,2018-11-23,Washington Capitals,1,3,L,,,32,6,0,3,0,,20,6,0,3,0
23,2018-11-24,Buffalo Sabres,2,3,L,SO,,37,8,0,4,0,,35,8,2,4,0
24,2018-11-26,Columbus Blue Jackets,5,7,L,,,32,8,1,3,0,,32,6,1,4,0
25,2018-11-28,St. Louis Blues,4,3,W,,,31,6,0,2,0,,36,4,2,3,0
26,2018-12-01,Boston Bruins,4,2,W,,,27,19,1,4,0,,40,15,1,6,0
27,2018-12-02,Colorado Avalanche,0,2,L,,,24,12,0,2,0,,29,14,1,1,0
