,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
28,2018-12-04,Tampa Bay Lightning,5,6,L,SO,,24,6,0,2,0,,35,6,0,2,1
29,2018-12-06,Toronto Maple Leafs,5,4,W,OT,,32,8,0,2,0,,31,4,0,4,0
30,2018-12-08,New York Islanders,2,3,L,,,25,20,0,3,0,,19,18,1,4,0
31,2018-12-10,Los Angeles Kings,3,1,W,,,21,2,0,1,0,,43,2,0,1,0
32,2018-12-11,Washington Capitals,2,6,L,,,37,4,0,1,0,,25,2,2,2,0
33,2018-12-14,Ottawa Senators,2,4,L,,,28,11,0,2,0,,32,9,1,3,0
34,2018-12-15,New York Islanders,3,4,L,SO,,21,12,1,1,0,,48,2,1,6,0
35,2018-12-18,Philadelphia Flyers,2,3,L,,,22,4,1,3,0,,33,6,0,2,0
36,2018-12-20,Carolina Hurricanes,4,1,W,,,24,4,1,1,0,,39,2,0,2,0
37,2018-12-22,Florida Panthers,1,2,L,,,34,6,0,4,0,,23,10,1,2,0
38,2018-12-23,Toronto Maple Leafs,4,5,L,OT,,30,4,0,3,0,,24,6,0,2,0
39,2018-12-27,Pittsburgh Penguins,2,5,L,,,29,6,0,1,0,,40,2,2,3,0
40,2018-12-29,Dallas Stars,1,5,L,,,34,4,1,4,0,,42,8,1,2,0
41,2018-12-31,Florida Panthers,3,4,L,SO,,20,6,0,2,0,,27,4,0,3,1
42,2019-01-02,Calgary Flames,3,5,L,,,32,10,0,1,0,,35,2,2,5,0
43,2019-01-04,Nashville Predators,4,3,W,OT,,39,13,0,2,0,,30,11,0,3,0
44,2019-01-06,Washington Capitals,2,3,L,,,25,8,0,3,0,,34,10,0,4,0
45,2019-01-08,Montreal Canadiens,2,3,L,,,32,4,1,5,0,,25,10,0,2,0
46,2019-01-11,Winnipeg Jets,2,4,L,,,35,6,1,4,1,,27,8,0,3,0
47,2019-01-12,Minnesota Wild,5,2,W,,,37,6,0,4,0,,18,8,1,3,0
48,2019-01-15,Anaheim Ducks,3,1,W,,,25,4,0,0,0,,24,0,1,2,0
49,2019-01-18,Calgary Flames,4,6,L,,,35,6,1,5,0,,36,10,3,3,1
50,2019-01-20,Vancouver Canucks,2,3,L,,,37,4,0,3,0,,31,6,0,2,0
51,2019-01-22,Edmonton Oilers,3,2,W,,,27,6,0,3,0,,34,6,0,3,0
52,2019-02-01,Toronto Maple Leafs,3,2,W,OT,,33,10,1,4,0,,21,8,0,5,0
53,2019-02-02,Ottawa Senators,2,0,W,,,21,4,0,3,0,,35,6,0,2,0
54,2019-02-07,Vegas Golden Knights,3,4,L,,,39,4,1,4,0,,32,8,1,2,0
55,2019-02-09,Buffalo Sabres,1,3,L,,,29,6,1,4,0,,21,8,2,3,0
56,2019-02-10,Chicago Blackhawks,2,5,L,,,45,4,0,2,0,,36,4,0,2,0
57,2019-02-12,Nashville Predators,3,2,W,,,27,14,1,3,0,,34,8,1,6,0
58,2019-02-14,Ottawa Senators,3,2,W,,,29,11,0,2,0,,42,13,0,1,0
59,2019-02-16,Philadelphia Flyers,5,6,L,OT,,38,6,0,1,0,,32,4,1,2,0
60,2019-02-17,Philadelphia Flyers,1,3,L,,,38,7,0,2,0,,23,9,0,1,0
61,2019-02-20,Chicago Blackhawks,4,5,L,OT,,35,2,1,4,0,,20,8,0,1,0
62,2019-02-22,Minnesota Wild,2,3,L,,,28,6,1,2,0,,35,4,1,3,0
63,2019-02-24,San Jose Sharks,3,5,L,,,23,6,0,2,0,,37,4,1,3,0
64,2019-02-26,Montreal Canadiens,1,8,L,,,29,12,0,5,0,,34,22,0,0,0
65,2019-03-02,Arizona Coyotes,1,3,L,,,23,8,1,1,0,,44,4,0,3,0
66,2019-03-05,Colorado Avalanche,3,4,L,OT,,23,6,1,3,0,,34,6,1,3,0
67,2019-03-07,New York Rangers,3,2,W,SO,,45,4,0,3,0,,34,8,0,1,0
68,2019-03-09,Tampa Bay Lightning,2,3,L,,,24,8,1,5,0,,33,12,0,3,0
69,2019-03-10,Florida Panthers,1,6,L,,,20,8,1,2,0,,43,4,2,4,0
70,2019-03-12,Montreal Canadiens,1,3,L,,,21,4,0,2,0,,36,4,0,2,0
71,2019-03-14,Tampa Bay Lightning,4,5,L,,,27,6,0,3,1,,39,6,2,3,0
72,2019-03-16,New York Islanders,2,1,W,,,22,4,0,3,0,,42,6,0,2,0
73,2019-03-19,New York Rangers,3,2,W,,,30,6,0,1,0,,43,2,1,3,0
74,2019-03-21,St. Louis Blues,2,5,L,,,22,4,0,1,0,,24,2,0,2,0
75,2019-03-23,Vegas Golden Knights,3,2,W,OT,,30,6,1,2,0,,30,4,0,3,1
76,2019-03-25,San Jose Sharks,3,2,W,,,23,8,0,1,1,,41,2,1,4,0
77,2019-03-28,Buffalo Sabres,5,4,W,OT,,34,6,1,3,0,,39,6,1,3,0
78,2019-03-29,New Jersey Devils,4,0,W,,,33,2,0,1,0,,28,2,0,1,0
79,2019-03-31,Boston Bruins,6,3,W,,,28,13,2,5,0,,34,25,0,4,1
80,2019-04-02,Pittsburgh Penguins,4,1,W,,,26,4,1,1,0,,39,2,0,2,0
81,2019-04-04,Pittsburgh Penguins,1,4,L,,,34,22,1,2,0,,47,8,2,4,0
82,2019-04-06,Buffalo Sabres,1,7,L,,,24,4,1,3,0,,37,6,2,2,0
