,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2022-10-11,Los Angeles Kings,4,3,W,,,51,6,1,5,0,,30,10,0,3,0
2,2022-10-13,Chicago Blackhawks,1,0,W,,,37,4,0,3,0,,27,6,0,2,0
3,2022-10-15,Seattle Kraken,5,2,W,,,30,4,2,4,0,,33,8,1,2,0
4,2022-10-18,Calgary Flames,2,3,L,,,21,12,0,4,0,,40,8,2,6,0
5,2022-10-20,Winnipeg Jets,5,2,W,,,32,2,0,3,0,,28,6,0,1,0
6,2022-10-22,Colorado Avalanche,2,3,L,,,35,4,1,4,0,,25,8,2,2,0
7,2022-10-24,Toronto Maple Leafs,3,1,W,,,33,4,1,3,0,,23,6,0,2,0
8,2022-10-25,San Jose Sharks,4,2,W,,,31,4,0,1,0,,31,2,0,2,0
9,2022-10-28,Anaheim Ducks,4,0,W,,,22,9,1,2,1,,29,9,0,2,0
10,2022-10-30,Winnipeg Jets,2,1,W,OT,,48,2,0,3,0,,24,6,0,1,0
11,2022-11-01,Washington Capitals,3,2,W,OT,,31,6,1,2,0,,21,6,1,2,0
12,2022-11-03,Ottawa Senators,5,4,W,,,32,6,1,4,1,,46,8,0,3,0
13,2022-11-05,Montreal Canadiens,6,4,W,,,42,6,2,4,0,,31,21,1,1,0
14,2022-11-08,Toronto Maple Leafs,4,3,W,OT,,20,4,0,2,1,,31,4,0,2,0
15,2022-11-10,Buffalo Sabres,7,4,W,,,36,6,1,2,0,,35,4,2,3,1
16,2022-11-12,St. Louis Blues,2,3,L,,,36,8,0,0,1,,28,0,0,4,0
17,2022-11-15,San Jose Sharks,2,5,L,,,26,4,0,3,0,,29,6,1,2,0
18,2022-11-17,Arizona Coyotes,4,1,W,,,39,13,1,5,0,,26,15,0,4,0
19,2022-11-19,Edmonton Oilers,3,4,L,OT,,34,6,0,3,0,,23,6,1,3,0
20,2022-11-21,Vancouver Canucks,5,4,W,,,38,2,0,1,0,,29,2,0,1,0
21,2022-11-23,Ottawa Senators,4,1,W,,,36,4,1,4,0,,40,8,1,2,0
22,2022-11-25,Seattle Kraken,2,4,L,,,22,4,1,1,0,,28,2,0,2,0
23,2022-11-26,Vancouver Canucks,1,5,L,,,27,20,0,3,0,,36,26,3,5,0
24,2022-11-28,Columbus Blue Jackets,3,2,W,SO,,36,4,0,4,0,,28,8,0,2,0
25,2022-12-01,Pittsburgh Penguins,3,4,L,,,37,12,2,3,0,,47,10,1,4,0
26,2022-12-03,Detroit Red Wings,4,1,W,,,25,6,1,1,0,,25,2,1,3,0
27,2022-12-05,Boston Bruins,4,3,W,SO,,24,8,0,3,0,,43,6,1,4,0
28,2022-12-07,New York Rangers,1,5,L,,,26,27,1,3,0,,37,13,2,5,0
29,2022-12-09,Philadelphia Flyers,2,1,W,OT,,34,0,0,2,0,,28,4,0,0,0
30,2022-12-11,Boston Bruins,1,3,L,,,31,4,1,4,0,,27,8,0,2,0
31,2022-12-13,Winnipeg Jets,6,5,W,,,33,4,2,3,0,,34,6,1,2,0
32,2022-12-15,Chicago Blackhawks,4,1,W,,,25,4,1,1,1,,25,2,0,2,0
33,2022-12-17,New York Islanders,2,5,L,,,38,4,2,3,0,,26,6,0,2,0
34,2022-12-19,Buffalo Sabres,2,3,L,,,43,2,0,3,0,,18,6,0,1,0
35,2022-12-21,Arizona Coyotes,5,2,W,,,34,4,2,4,1,,23,8,0,2,0
36,2022-12-23,St. Louis Blues,5,4,W,SO,,32,6,1,2,0,,29,4,1,3,0
37,2022-12-27,Los Angeles Kings,2,4,L,,,25,4,1,3,0,,25,6,0,2,0
38,2022-12-28,Anaheim Ducks,2,3,L,SO,,51,10,0,5,1,,27,10,0,5,0
39,2022-12-31,Nashville Predators,5,4,W,OT,,32,14,0,1,0,,37,21,1,4,0
40,2023-01-02,Colorado Avalanche,3,2,W,,,28,17,0,1,0,,29,9,0,5,0
41,2023-01-05,Pittsburgh Penguins,5,2,W,,,31,6,1,1,0,,40,2,0,3,0
42,2023-01-07,Los Angeles Kings,1,5,L,,,20,2,0,3,0,,23,6,0,1,1
43,2023-01-12,Florida Panthers,4,2,W,,,33,15,1,1,0,,39,11,1,3,0
44,2023-01-14,Edmonton Oilers,3,4,L,,,30,2,0,2,0,,37,4,0,1,0
45,2023-01-16,Dallas Stars,0,4,L,,,27,4,0,2,0,,36,4,0,2,0
46,2023-01-19,Detroit Red Wings,2,3,L,,,35,2,0,0,0,,25,0,1,1,0
47,2023-01-21,Washington Capitals,6,2,W,,,27,8,0,1,0,,22,4,0,3,0
48,2023-01-22,Arizona Coyotes,1,4,L,,,36,2,1,4,0,,23,8,0,1,0
49,2023-01-24,New Jersey Devils,2,3,L,OT,,30,7,0,3,0,,36,11,1,1,0
50,2023-01-27,New York Rangers,1,4,L,,,34,9,0,2,0,,40,9,0,2,0
51,2023-01-28,New York Islanders,1,2,L,OT,,46,2,0,2,0,,38,4,0,1,0
52,2023-02-07,Nashville Predators,5,1,W,,,30,6,0,2,0,,17,6,0,2,0
53,2023-02-09,Minnesota Wild,5,1,W,,,31,8,0,1,0,,28,6,1,2,0
54,2023-02-12,Anaheim Ducks,7,2,W,,,39,6,0,2,0,,25,4,0,3,0
55,2023-02-16,San Jose Sharks,2,1,W,,,38,2,0,7,0,,26,24,0,1,0
56,2023-02-18,Tampa Bay Lightning,5,4,W,,,26,8,0,2,0,,24,6,1,3,0
57,2023-02-21,Chicago Blackhawks,2,3,L,SO,,36,6,0,1,0,,39,12,1,3,0
58,2023-02-23,Calgary Flames,4,3,W,OT,,29,8,1,2,0,,28,4,1,4,0
59,2023-02-25,Dallas Stars,2,3,L,SO,,43,8,0,2,0,,43,4,0,4,0
60,2023-02-27,Colorado Avalanche,0,3,L,,,31,6,0,1,0,,34,6,0,1,0
61,2023-03-01,Carolina Hurricanes,3,2,W,,,20,0,0,1,0,,26,2,0,0,0
62,2023-03-03,New Jersey Devils,4,3,W,SO,,27,4,0,1,0,,50,2,1,2,0
63,2023-03-05,Montreal Canadiens,4,3,W,,,28,9,0,1,0,,28,7,0,2,0
