,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
64,2023-03-07,Florida Panthers,1,2,L,,,23,6,1,4,0,,34,10,0,2,0
65,2023-03-09,Tampa Bay Lightning,4,3,W,OT,,21,75,1,2,1,,37,71,1,5,0
66,2023-03-11,Carolina Hurricanes,4,0,W,,,24,2,0,1,0,,33,2,0,1,0
67,2023-03-12,St. Louis Blues,5,3,W,,,31,2,0,2,0,,33,4,1,1,0
68,2023-03-14,Philadelphia Flyers,5,3,W,,,33,4,2,4,0,,30,8,0,2,0
69,2023-03-16,Calgary Flames,2,7,L,,,19,9,0,4,0,,30,13,1,2,0
70,2023-03-19,Columbus Blue Jackets,7,2,W,,,41,4,2,2,0,,37,4,0,2,0
71,2023-03-21,Vancouver Canucks,4,3,W,,,27,4,0,4,0,,34,10,1,2,1
72,2023-03-23,Calgary Flames,3,2,W,,,32,4,0,1,0,,44,2,1,2,0
73,2023-03-25,Edmonton Oilers,4,3,W,OT,,34,6,1,2,0,,30,6,1,2,0
74,2023-03-28,Edmonton Oilers,4,7,L,,,22,6,0,3,1,,39,6,3,3,0
75,2023-03-30,San Jose Sharks,3,4,L,OT,,26,6,1,3,0,,25,6,0,3,0
76,2023-04-01,Minnesota Wild,4,1,W,,,43,6,0,2,0,,30,6,0,2,0
77,2023-04-03,Minnesota Wild,4,3,W,SO,,26,8,0,3,0,,33,10,1,2,0
78,2023-04-04,Nashville Predators,2,3,L,OT,,32,8,0,3,0,,27,6,2,4,0
79,2023-04-06,Los Angeles Kings,5,2,W,,,37,19,1,4,0,,32,14,1,1,1
80,2023-04-08,Dallas Stars,1,2,L,SO,,20,4,0,2,0,,25,4,0,2,0
81,2023-04-11,Seattle Kraken,4,1,W,,,37,4,1,3,0,,21,6,0,2,0
82,2023-04-13,Seattle Kraken,3,1,W,,,19,12,0,2,1,,31,8,0,4,0
