,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2022-10-14,Montreal Canadiens,3,0,W,,,40,6,0,3,0,,29,6,0,3,0
2,2022-10-15,New Jersey Devils,5,2,W,,,22,10,0,4,0,,39,12,0,3,0
3,2022-10-17,Los Angeles Kings,4,5,L,OT,,33,8,1,4,0,,36,8,0,4,0
4,2022-10-21,Chicago Blackhawks,3,4,L,OT,,28,10,1,5,0,,29,14,0,3,1
5,2022-10-23,Anaheim Ducks,5,1,W,,,41,12,3,5,0,,33,14,0,4,0
6,2022-10-25,New Jersey Devils,2,6,L,,,22,2,0,3,0,,41,6,1,1,1
7,2022-10-27,Boston Bruins,1,5,L,,,29,14,0,5,0,,33,10,3,6,0
8,2022-10-29,Minnesota Wild,2,1,W,,,25,4,1,2,0,,31,6,0,1,0
9,2022-10-31,Buffalo Sabres,3,8,L,,,18,12,0,1,1,,46,4,2,5,0
10,2022-11-03,Washington Capitals,3,1,W,,,26,10,1,3,0,,34,8,0,4,0
11,2022-11-05,New York Islanders,3,0,W,,,26,6,1,5,1,,24,10,0,3,0
12,2022-11-06,New York Rangers,3,2,W,OT,,36,4,1,4,0,,29,8,1,2,0
13,2022-11-08,Montreal Canadiens,2,3,L,SO,,43,4,0,7,0,,33,35,0,1,0
14,2022-11-10,New York Rangers,2,8,L,,,20,6,0,2,0,,33,4,1,3,1
15,2022-11-12,Los Angeles Kings,3,4,L,,,21,6,2,4,0,,21,8,2,3,0
16,2022-11-15,Anaheim Ducks,2,3,L,OT,,33,10,1,4,0,,30,8,1,5,0
17,2022-11-17,San Jose Sharks,7,4,W,,,21,2,0,3,0,,25,6,0,1,0
18,2022-11-19,Columbus Blue Jackets,6,1,W,,,37,6,2,3,0,,28,8,0,2,0
19,2022-11-23,Nashville Predators,3,0,W,,,29,6,1,2,0,,26,4,0,3,0
20,2022-11-25,Arizona Coyotes,4,3,W,SO,,36,15,2,4,0,,24,15,0,4,0
21,2022-11-28,Toronto Maple Leafs,2,4,L,,,44,4,0,3,0,,25,6,1,2,0
22,2022-11-30,Buffalo Sabres,4,5,L,SO,,45,6,0,7,0,,34,16,1,2,1
23,2022-12-03,Vegas Golden Knights,1,4,L,,,25,2,1,3,0,,25,6,1,1,0
24,2022-12-04,Columbus Blue Jackets,4,2,W,,,35,6,2,5,0,,34,10,1,3,0
25,2022-12-06,Tampa Bay Lightning,4,2,W,,,26,6,0,1,0,,46,4,0,2,0
