,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
26,2022-12-08,Florida Panthers,1,5,L,,,20,16,1,4,0,,41,8,0,3,0
27,2022-12-10,Dallas Stars,2,3,L,OT,,26,8,0,2,0,,33,4,1,4,0
28,2022-12-13,Carolina Hurricanes,0,1,L,,,27,4,0,3,0,,27,6,1,2,0
29,2022-12-14,Minnesota Wild,1,4,L,,,17,13,0,3,0,,22,11,1,4,0
30,2022-12-17,Ottawa Senators,3,6,L,,,32,10,1,7,0,,28,14,3,5,2
31,2022-12-19,Washington Capitals,3,4,L,OT,,19,8,1,3,0,,42,8,0,3,0
32,2022-12-21,Tampa Bay Lightning,7,4,W,,,31,14,0,2,0,,38,10,0,4,0
33,2022-12-28,Pittsburgh Penguins,5,4,W,OT,,46,4,2,4,0,,31,8,2,2,0
34,2022-12-29,Buffalo Sabres,3,6,L,,,31,10,1,3,0,,35,6,1,5,0
35,2022-12-31,Ottawa Senators,4,2,W,,,25,8,0,4,0,,23,8,0,4,0
36,2023-01-04,New Jersey Devils,1,5,L,,,33,6,1,2,0,,27,4,2,3,0
37,2023-01-06,Florida Panthers,2,3,L,,,31,4,0,5,0,,20,10,2,2,0
38,2023-01-07,Toronto Maple Leafs,1,4,L,,,23,10,0,4,0,,29,8,1,5,0
39,2023-01-10,Winnipeg Jets,7,5,W,,,23,6,1,3,0,,37,6,1,3,0
40,2023-01-12,Toronto Maple Leafs,4,1,W,,,23,6,2,5,0,,33,10,0,3,0
41,2023-01-14,Columbus Blue Jackets,3,4,L,,,28,2,0,2,0,,25,4,0,1,0
42,2023-01-16,Colorado Avalanche,3,6,L,,,29,10,0,2,0,,27,6,2,4,0
43,2023-01-17,Arizona Coyotes,3,4,L,SO,,40,4,1,3,0,,23,6,0,2,0
44,2023-01-19,Vegas Golden Knights,3,2,W,,,25,0,1,1,0,,35,2,0,0,0
45,2023-01-21,Philadelphia Flyers,1,2,L,,,31,6,0,2,0,,25,8,0,1,0
46,2023-01-24,San Jose Sharks,3,2,W,OT,,35,4,0,2,0,,30,6,0,1,0
47,2023-01-26,Montreal Canadiens,4,3,W,OT,,42,9,1,2,0,,23,9,0,2,1
48,2023-01-27,New York Islanders,0,2,L,,,23,10,0,4,0,,29,10,0,4,0
49,2023-02-07,Edmonton Oilers,2,5,L,,,32,14,0,5,0,,27,18,1,4,1
50,2023-02-09,Calgary Flames,2,1,W,,,17,6,1,5,0,,36,10,0,3,0
51,2023-02-11,Vancouver Canucks,5,2,W,,,25,6,2,6,0,,34,12,1,3,0
52,2023-02-13,Vancouver Canucks,6,1,W,,,23,8,1,1,0,,30,2,0,4,0
53,2023-02-15,Edmonton Oilers,5,4,W,SO,,23,6,2,2,0,,45,4,1,3,0
54,2023-02-16,Calgary Flames,5,2,W,,,24,4,2,4,0,,35,8,0,2,1
55,2023-02-18,Seattle Kraken,2,4,L,,,23,16,0,3,0,,26,16,0,2,0
56,2023-02-21,Washington Capitals,3,1,W,,,25,19,0,2,1,,27,6,1,3,0
57,2023-02-23,New York Rangers,4,1,W,,,23,11,1,4,0,,31,15,0,2,0
58,2023-02-25,Tampa Bay Lightning,0,3,L,,,45,4,0,4,0,,18,8,0,2,0
59,2023-02-27,Ottawa Senators,2,6,L,,,24,12,1,4,0,,42,8,2,6,0
60,2023-02-28,Ottawa Senators,1,6,L,,,17,33,0,8,0,,27,27,2,6,1
61,2023-03-02,Seattle Kraken,4,5,L,OT,,29,15,0,3,0,,37,11,1,5,0
62,2023-03-04,New York Islanders,1,4,L,,,23,4,1,3,0,,36,6,1,2,0
63,2023-03-05,Philadelphia Flyers,1,3,L,,,26,8,0,2,0,,37,6,0,3,1
64,2023-03-08,Chicago Blackhawks,4,3,W,,,41,6,1,3,0,,20,6,1,3,0
65,2023-03-11,Boston Bruins,2,3,L,,,31,8,1,2,1,,38,4,1,4,0
66,2023-03-12,Boston Bruins,5,3,W,,,26,12,2,3,1,,33,12,0,3,0
67,2023-03-14,Nashville Predators,1,2,L,,,29,10,1,4,0,,16,8,0,5,0
68,2023-03-18,Colorado Avalanche,1,5,L,,,34,8,0,3,0,,23,8,1,3,1
69,2023-03-20,Florida Panthers,2,5,L,,,22,6,0,1,0,,25,4,1,2,0
70,2023-03-21,St. Louis Blues,3,2,W,SO,,30,6,1,3,0,,22,6,0,3,0
71,2023-03-23,St. Louis Blues,3,4,L,,,28,13,0,1,0,,22,7,0,4,0
72,2023-03-25,Philadelphia Flyers,0,3,L,,,29,6,0,7,0,,22,14,0,3,0
73,2023-03-28,Pittsburgh Penguins,7,4,W,,,25,12,2,3,0,,39,6,2,6,0
74,2023-03-30,Carolina Hurricanes,3,2,W,,,22,6,1,3,0,,33,6,0,3,0
75,2023-03-31,Winnipeg Jets,2,6,L,,,25,6,1,1,0,,29,2,0,3,0
76,2023-04-02,Toronto Maple Leafs,5,2,W,,,24,8,0,1,0,,45,14,2,3,0
77,2023-04-04,Montreal Canadiens,5,0,W,,,21,8,1,3,0,,24,8,0,3,0
78,2023-04-06,Buffalo Sabres,6,7,L,SO,,32,8,2,3,0,,36,8,1,3,0
79,2023-04-08,Pittsburgh Penguins,1,5,L,,,20,8,0,3,0,,28,6,1,4,0
80,2023-04-10,Dallas Stars,1,6,L,,,20,8,0,2,0,,22,6,1,3,0
81,2023-04-11,Carolina Hurricanes,1,4,L,,,21,2,0,2,0,,28,4,0,1,0
82,2023-04-13,Tampa Bay Lightning,0,5,L,,,32,6,0,2,0,,32,6,1,2,0
