Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
1,2021-10-14,Tampa Bay Lightning,6.0,7.0,L,26.0,26.0,48.0,20
2,2021-10-16,Vancouver Canucks,3.0,1.0,W,21.0,26.0,41.0,24
3,2021-10-19,Columbus Blue Jackets,4.0,1.0,W,45.0,8.0,23.0,8
4,2021-10-21,Calgary Flames,0.0,3.0,L,33.0,9.0,29.0,11
5,2021-10-23,Montreal Canadiens,1.0,6.0,L,27.0,8.0,24.0,6
6,2021-10-24,Chicago Blackhawks,6.0,3.0,W,37.0,12.0,35.0,16
7,2021-10-27,Washington Capitals,3.0,2.0,W,25.0,8.0,28.0,4
8,2021-10-29,Florida Panthers,2.0,3.0,L,30.0,6.0,33.0,8
9,2021-10-30,Toronto Maple Leafs,4.0,5.0,L,31.0,4.0,38.0,4
10,2021-11-02,Montreal Canadiens,0.0,3.0,L,22.0,2.0,41.0,4
11,2021-11-04,Boston Bruins,1.0,5.0,L,15.0,12.0,37.0,10
12,2021-11-06,Buffalo Sabres,4.0,3.0,W,33.0,4.0,32.0,2
13,2021-11-07,Vegas Golden Knights,5.0,2.0,W,30.0,6.0,40.0,8
14,2021-11-09,Edmonton Oilers,4.0,2.0,W,39.0,4.0,33.0,4
15,2021-11-11,Washington Capitals,0.0,2.0,L,21.0,8.0,29.0,8
16,2021-11-13,Montreal Canadiens,3.0,2.0,W,33.0,8.0,37.0,6
17,2021-11-15,Columbus Blue Jackets,3.0,5.0,L,27.0,8.0,38.0,4
18,2021-11-16,Dallas Stars,2.0,5.0,L,30.0,2.0,30.0,2
19,2021-11-18,Vegas Golden Knights,2.0,5.0,L,28.0,9.0,32.0,7
20,2021-11-20,Arizona Coyotes,1.0,2.0,L,34.0,2.0,29.0,4
21,2021-11-24,St. Louis Blues,4.0,2.0,W,23.0,6.0,37.0,0
22,2021-11-27,Buffalo Sabres,3.0,2.0,W,41.0,2.0,28.0,8
23,2021-11-30,Boston Bruins,2.0,1.0,W,16.0,8.0,42.0,4
24,2021-12-01,Seattle Kraken,4.0,3.0,W,26.0,6.0,24.0,6
25,2021-12-04,New York Islanders,4.0,3.0,W,30.0,11.0,23.0,21
26,2021-12-07,Nashville Predators,2.0,5.0,L,16.0,16.0,33.0,14
27,2021-12-09,St. Louis Blues,2.0,6.0,L,31.0,6.0,26.0,2
28,2021-12-10,Colorado Avalanche,3.0,7.0,L,40.0,6.0,47.0,8
29,2021-12-14,New York Islanders,2.0,1.0,W,39.0,2.0,34.0,6
30,2021-12-16,Carolina Hurricanes,3.0,5.0,L,26.0,2.0,33.0,6
31,2021-12-18,New Jersey Devils,5.0,2.0,W,30.0,6.0,33.0,8
32,2021-12-31,Washington Capitals,1.0,3.0,L,20.0,8.0,27.0,8
33,2022-01-02,Boston Bruins,1.0,5.0,L,24.0,15.0,37.0,17
34,2022-01-04,San Jose Sharks,6.0,2.0,W,31.0,38.0,26.0,25
35,2022-01-08,Los Angeles Kings,0.0,4.0,L,21.0,11.0,42.0,9
36,2022-01-09,Anaheim Ducks,3.0,4.0,L,36.0,19.0,27.0,13
37,2022-01-11,San Jose Sharks,2.0,3.0,L,19.0,11.0,40.0,11
38,2022-01-13,Winnipeg Jets,0.0,3.0,L,33.0,6.0,32.0,14
39,2022-01-15,Buffalo Sabres,4.0,0.0,W,39.0,10.0,22.0,10
40,2022-01-17,Buffalo Sabres,3.0,2.0,W,35.0,8.0,28.0,6
41,2022-01-21,Dallas Stars,4.0,5.0,L,28.0,10.0,32.0,8
42,2022-01-22,Nashville Predators,1.0,4.0,L,29.0,18.0,25.0,22
43,2022-01-26,Chicago Blackhawks,5.0,8.0,L,33.0,18.0,38.0,8
44,2022-01-28,Pittsburgh Penguins,3.0,2.0,W,32.0,8.0,38.0,6
45,2022-01-29,Toronto Maple Leafs,4.0,7.0,L,35.0,6.0,37.0,4
46,2022-01-31,Anaheim Ducks,2.0,1.0,W,28.0,2.0,15.0,4
47,2022-02-02,Los Angeles Kings,3.0,5.0,L,25.0,16.0,45.0,14
48,2022-02-09,Philadelphia Flyers,6.0,3.0,W,34.0,10.0,24.0,6
49,2022-02-12,Philadelphia Flyers,4.0,2.0,W,23.0,6.0,34.0,4
50,2022-02-14,Minnesota Wild,4.0,7.0,L,34.0,15.0,25.0,19
51,2022-02-17,New York Rangers,3.0,2.0,W,33.0,4.0,39.0,8
52,2022-02-23,Colorado Avalanche,2.0,5.0,L,34.0,8.0,31.0,8
53,2022-02-26,Toronto Maple Leafs,7.0,10.0,L,33.0,0.0,39.0,6
54,2022-03-01,Carolina Hurricanes,4.0,3.0,W,41.0,4.0,30.0,8
55,2022-03-04,Tampa Bay Lightning,1.0,3.0,L,23.0,8.0,38.0,4
56,2022-03-05,Florida Panthers,2.0,6.0,L,25.0,6.0,39.0,4
57,2022-03-08,Arizona Coyotes,2.0,9.0,L,28.0,8.0,30.0,14
58,2022-03-10,Minnesota Wild,5.0,6.0,L,34.0,8.0,40.0,14
59,2022-03-12,Calgary Flames,0.0,3.0,L,19.0,11.0,43.0,9
60,2022-03-15,Edmonton Oilers,5.0,7.0,L,35.0,8.0,32.0,4
61,2022-03-17,Vancouver Canucks,1.0,0.0,W,35.0,16.0,43.0,2
62,2022-03-19,Seattle Kraken,2.0,4.0,L,23.0,15.0,42.0,7
63,2022-03-22,Philadelphia Flyers,6.0,3.0,W,31.0,14.0,33.0,10
64,2022-03-24,New York Islanders,2.0,5.0,L,39.0,2.0,26.0,6
65,2022-03-26,Tampa Bay Lightning,1.0,2.0,L,27.0,6.0,36.0,10
66,2022-03-27,Pittsburgh Penguins,2.0,11.0,L,35.0,12.0,35.0,10
67,2022-03-30,New York Rangers,4.0,5.0,L,26.0,4.0,34.0,6
68,2022-04-01,Ottawa Senators,2.0,5.0,L,29.0,6.0,32.0,12
69,2022-04-03,Ottawa Senators,2.0,5.0,L,32.0,8.0,36.0,4
70,2022-04-05,Boston Bruins,5.0,3.0,W,29.0,22.0,50.0,34
71,2022-04-06,Winnipeg Jets,3.0,1.0,W,35.0,6.0,33.0,8
72,2022-04-09,Columbus Blue Jackets,4.0,5.0,L,38.0,14.0,33.0,6
73,2022-04-12,Ottawa Senators,1.0,4.0,L,25.0,4.0,32.0,8
74,2022-04-14,Carolina Hurricanes,3.0,0.0,W,22.0,8.0,46.0,4
75,2022-04-16,New York Rangers,0.0,4.0,L,20.0,8.0,37.0,2
76,2022-04-17,Florida Panthers,1.0,6.0,L,34.0,4.0,39.0,6
77,2022-04-19,Tampa Bay Lightning,4.0,3.0,W,31.0,6.0,41.0,4
78,2022-04-21,Florida Panthers,2.0,5.0,L,30.0,23.0,27.0,8
79,2022-04-23,Pittsburgh Penguins,2.0,7.0,L,25.0,2.0,38.0,6
80,2022-04-24,New Jersey Devils,3.0,0.0,W,24.0,4.0,17.0,6
81,2022-04-26,Toronto Maple Leafs,0.0,3.0,L,20.0,4.0,36.0,6
82,2022-04-29,New Jersey Devils,5.0,3.0,W,35.0,2.0,23.0,4
