,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
70,2022-04-01,Seattle Kraken,5,2,W,,,26,14,0,1,1,,28,12,0,2,0
71,2022-04-03,Vancouver Canucks,3,2,W,OT,,30,6,0,3,0,,28,6,1,3,0
72,2022-04-06,Vancouver Canucks,1,5,L,,,34,6,0,3,0,,31,6,2,3,0
73,2022-04-09,Arizona Coyotes,6,1,W,,,39,2,0,3,0,,30,6,0,1,0
74,2022-04-12,Vancouver Canucks,4,5,L,OT,,45,6,0,3,0,,27,6,2,3,0
75,2022-04-14,Calgary Flames,6,1,W,,,25,8,1,4,0,,36,10,1,3,0
76,2022-04-16,Edmonton Oilers,0,4,L,,,39,2,0,3,0,,36,6,0,1,1
77,2022-04-18,New Jersey Devils,2,3,L,,,44,2,0,1,0,,28,2,0,1,0
78,2022-04-20,Washington Capitals,4,3,W,OT,,30,2,1,2,0,,28,4,0,1,0
79,2022-04-24,San Jose Sharks,4,5,L,SO,,46,2,1,4,0,,29,8,0,1,0
80,2022-04-26,Dallas Stars,2,3,L,SO,,35,4,1,1,0,,30,4,0,1,0
81,2022-04-27,Chicago Blackhawks,3,4,L,SO,,40,4,0,1,0,,40,2,0,2,0
82,2022-04-29,St. Louis Blues,7,4,W,,,45,6,1,2,0,,18,4,2,3,0
