,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2021-10-12,Seattle Kraken,4,3,W,,,30,8,0,3,0,,31,8,0,3,0
2,2021-10-14,Los Angeles Kings,2,6,L,,,25,9,0,1,0,,47,7,2,2,0
3,2021-10-20,St. Louis Blues,1,3,L,,,43,6,0,2,0,,38,4,0,3,0
4,2021-10-22,Edmonton Oilers,3,5,L,,,39,6,0,3,0,,33,6,1,3,0
5,2021-10-24,New York Islanders,0,2,L,,,42,4,0,2,0,,26,4,0,2,0
6,2021-10-26,Colorado Avalanche,3,1,W,,,29,21,0,3,1,,27,24,0,2,0
7,2021-10-27,Dallas Stars,3,2,W,OT,,21,2,0,1,0,,34,2,0,1,0
8,2021-10-29,Anaheim Ducks,5,4,W,SO,,42,11,0,0,0,,38,5,0,3,0
9,2021-11-02,Toronto Maple Leafs,0,4,L,,,26,2,0,3,0,,33,6,1,1,0
10,2021-11-04,Ottawa Senators,5,1,W,,,39,2,0,1,0,,39,2,0,1,0
11,2021-11-06,Montreal Canadiens,5,2,W,,,18,12,2,2,0,,38,8,1,4,0
12,2021-11-07,Detroit Red Wings,2,5,L,,,40,8,0,3,0,,30,6,2,4,0
13,2021-11-09,Seattle Kraken,4,2,W,,,23,8,1,2,0,,27,6,1,4,0
14,2021-11-11,Minnesota Wild,3,2,W,,,35,12,0,2,0,,26,4,0,6,0
15,2021-11-13,Vancouver Canucks,7,4,W,,,39,17,2,6,0,,43,21,0,4,0
16,2021-11-16,Carolina Hurricanes,2,4,L,,,23,4,0,1,0,,42,2,1,2,0
17,2021-11-18,Detroit Red Wings,5,2,W,,,32,7,0,2,0,,28,9,0,1,0
18,2021-11-20,Columbus Blue Jackets,3,2,W,,,35,10,0,4,1,,29,10,0,4,1
19,2021-11-22,St. Louis Blues,2,5,L,,,34,4,0,3,0,,31,6,1,2,0
20,2021-11-24,Nashville Predators,5,2,W,,,35,12,0,2,1,,28,4,1,6,0
21,2021-11-27,Edmonton Oilers,2,3,L,,,38,4,0,1,0,,30,2,0,2,0
22,2021-12-01,Anaheim Ducks,5,6,L,,,39,6,2,4,2,,34,8,0,3,1
23,2021-12-03,Arizona Coyotes,7,1,W,,,32,13,1,2,1,,30,11,0,3,0
24,2021-12-05,Calgary Flames,3,2,W,,,28,6,0,3,0,,25,8,0,2,0
25,2021-12-08,Dallas Stars,5,4,W,,,45,6,0,3,0,,23,6,3,3,0
26,2021-12-10,Philadelphia Flyers,3,4,L,,,44,6,1,6,0,,25,12,2,3,0
27,2021-12-12,Minnesota Wild,6,4,W,,,36,14,2,4,0,,27,10,1,6,0
28,2021-12-14,Boston Bruins,4,1,W,,,25,2,1,1,0,,24,2,0,1,0
29,2021-12-16,New Jersey Devils,5,3,W,,,30,26,1,4,0,,26,18,1,3,1
30,2021-12-17,New York Rangers,3,2,W,SO,,30,4,0,1,0,,29,2,1,2,0
31,2021-12-19,New York Islanders,4,3,W,SO,,34,11,1,1,0,,32,7,1,3,0
32,2021-12-21,Tampa Bay Lightning,3,4,L,,,41,4,1,2,0,,19,4,1,2,0
33,2021-12-28,Los Angeles Kings,6,3,W,,,27,8,2,4,0,,27,8,0,4,1
34,2021-12-31,Anaheim Ducks,3,1,W,,,45,21,0,6,0,,16,41,1,1,0
35,2022-01-02,Winnipeg Jets,4,5,L,OT,,46,6,0,1,0,,37,2,1,3,0
36,2022-01-04,Nashville Predators,2,3,L,,,43,11,0,3,0,,26,13,0,1,0
37,2022-01-06,New York Rangers,5,1,W,,,35,4,1,3,0,,20,6,0,2,0
38,2022-01-08,Chicago Blackhawks,1,2,L,,,31,2,0,0,0,,21,0,0,1,0
39,2022-01-11,Toronto Maple Leafs,3,4,L,SO,,34,4,2,5,0,,18,10,0,2,0
40,2022-01-17,Pittsburgh Penguins,3,5,L,,,26,6,1,2,0,,37,4,1,3,0
41,2022-01-20,Montreal Canadiens,4,3,W,OT,,53,6,2,3,0,,27,6,1,3,0
42,2022-01-24,Washington Capitals,1,0,W,,,29,10,0,4,0,,34,8,0,5,0
43,2022-01-25,Carolina Hurricanes,3,4,L,OT,,29,10,0,3,0,,30,8,1,5,0
44,2022-01-27,Florida Panthers,1,4,L,,,25,4,0,3,0,,32,6,0,1,1
45,2022-01-29,Tampa Bay Lightning,3,2,W,SO,,27,6,0,1,0,,29,2,0,3,0
46,2022-02-01,Buffalo Sabres,5,2,W,,,35,14,1,4,1,,32,18,0,2,0
47,2022-02-08,Edmonton Oilers,4,0,W,,,28,8,0,1,1,,28,4,0,3,0
48,2022-02-09,Calgary Flames,0,6,L,,,28,4,0,2,0,,33,4,1,2,0
49,2022-02-16,Colorado Avalanche,0,2,L,,,29,6,0,2,0,,25,4,1,3,0
50,2022-02-18,Los Angeles Kings,3,4,L,OT,,24,6,1,3,0,,31,6,1,3,0
51,2022-02-20,San Jose Sharks,4,1,W,,,35,22,0,3,0,,36,22,0,3,0
52,2022-02-25,Arizona Coyotes,1,3,L,,,44,6,0,2,0,,32,4,0,3,0
53,2022-02-26,Colorado Avalanche,2,3,L,,,36,6,0,2,0,,21,4,0,2,0
54,2022-03-01,San Jose Sharks,3,1,W,,,31,2,0,1,0,,17,4,0,0,0
55,2022-03-03,Boston Bruins,2,5,L,,,36,2,0,2,0,,36,4,0,1,0
56,2022-03-04,Anaheim Ducks,5,4,W,,,35,8,0,4,0,,24,8,2,4,0
57,2022-03-06,Ottawa Senators,2,1,W,,,42,4,1,2,0,,40,4,1,2,0
58,2022-03-08,Philadelphia Flyers,1,2,L,,,48,8,1,5,0,,21,10,0,4,0
59,2022-03-10,Buffalo Sabres,1,3,L,,,31,20,0,4,0,,24,20,1,4,0
60,2022-03-11,Pittsburgh Penguins,2,5,L,,,42,8,0,2,0,,33,6,1,3,0
61,2022-03-13,Columbus Blue Jackets,4,6,L,,,27,8,1,4,0,,38,10,1,3,0
62,2022-03-15,Winnipeg Jets,3,7,L,,,38,21,1,2,0,,23,9,1,3,1
63,2022-03-17,Florida Panthers,5,3,W,,,33,2,1,3,0,,36,16,1,1,0
64,2022-03-19,Los Angeles Kings,5,1,W,,,24,6,1,2,1,,39,4,0,3,0
65,2022-03-21,Minnesota Wild,0,3,L,,,28,6,0,2,0,,36,6,0,2,0
66,2022-03-22,Winnipeg Jets,0,4,L,,,42,6,0,3,0,,26,8,1,2,0
67,2022-03-24,Nashville Predators,6,1,W,,,50,13,3,5,0,,36,17,1,3,0
68,2022-03-26,Chicago Blackhawks,5,4,W,OT,,34,2,0,2,0,,34,4,0,1,0
69,2022-03-30,Seattle Kraken,3,0,W,,,30,7,0,3,0,,22,11,0,1,0
