,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2018-10-04,Philadelphia Flyers,2,5,L,,,25,10,0,3,1,,25,8,1,4,0
2,2018-10-06,Minnesota Wild,2,1,W,SO,,42,9,0,3,0,,30,11,0,2,0
3,2018-10-08,Buffalo Sabres,2,4,L,,,37,4,0,2,0,,17,4,1,2,0
4,2018-10-10,Washington Capitals,2,5,L,,,31,8,0,3,0,,29,6,2,4,0
5,2018-10-11,Pittsburgh Penguins,2,4,L,,,37,2,0,2,0,,22,4,0,1,0
6,2018-10-13,Philadelphia Flyers,1,0,W,,,21,4,0,3,0,,26,6,0,2,0
7,2018-10-16,Buffalo Sabres,4,1,W,,,29,12,1,3,1,,27,6,0,6,0
8,2018-10-20,Anaheim Ducks,3,1,W,,,45,4,1,5,0,,18,10,0,2,0
9,2018-10-24,Vancouver Canucks,2,3,L,SO,,35,4,0,4,0,,26,8,0,2,0
10,2018-10-26,Tampa Bay Lightning,2,3,L,,,31,4,1,4,0,,23,8,1,2,0
11,2018-10-28,Ottawa Senators,4,3,W,OT,,53,21,1,5,0,,22,28,1,2,0
12,2018-10-30,Nashville Predators,1,4,L,,,24,8,1,4,0,,28,8,0,4,0
13,2018-11-01,St. Louis Blues,3,5,L,,,34,8,1,3,0,,26,8,1,3,0
14,2018-11-03,Carolina Hurricanes,3,0,W,,,25,6,0,4,0,,34,8,0,3,0
15,2018-11-06,Toronto Maple Leafs,1,3,L,,,37,2,0,3,0,,21,6,0,1,0
16,2018-11-08,Ottawa Senators,5,3,W,,,42,9,2,2,0,,30,9,0,2,0
17,2018-11-10,Montreal Canadiens,4,5,L,,,38,4,2,3,0,,27,6,0,2,0
18,2018-11-11,Boston Bruins,1,4,L,,,38,14,0,4,0,,37,8,1,7,0
19,2018-11-14,Anaheim Ducks,5,0,W,,,25,8,1,6,1,,29,12,0,4,0
20,2018-11-16,St. Louis Blues,1,4,L,,,33,10,0,3,0,,35,8,0,4,0
21,2018-11-18,Edmonton Oilers,6,3,W,,,31,6,1,2,1,,32,6,1,2,0
22,2018-11-19,Calgary Flames,2,7,L,,,22,12,1,2,0,,32,4,3,6,0
23,2018-11-21,Arizona Coyotes,3,2,W,OT,,25,6,0,2,0,,21,4,1,3,0
24,2018-11-23,Calgary Flames,2,0,W,,,28,4,1,3,0,,29,8,0,1,0
25,2018-11-24,San Jose Sharks,6,0,W,,,36,20,1,6,0,,33,44,0,3,0
26,2018-11-27,Chicago Blackhawks,8,3,W,,,43,4,1,3,0,,24,6,0,2,0
27,2018-11-29,Vancouver Canucks,4,3,W,,,31,6,1,2,1,,36,4,0,3,0
28,2018-12-01,Edmonton Oilers,1,2,L,,,32,6,0,3,0,,34,6,0,3,0
29,2018-12-04,Washington Capitals,5,3,W,,,28,21,2,6,0,,26,12,0,4,0
30,2018-12-06,Chicago Blackhawks,4,3,W,,,36,8,1,2,0,,35,4,0,4,0
31,2018-12-08,Los Angeles Kings,1,5,L,,,30,2,0,3,0,,25,6,1,1,0
32,2018-12-09,Dallas Stars,4,2,W,,,28,8,1,5,0,,24,10,2,4,0
33,2018-12-12,New York Islanders,3,2,W,,,17,2,1,1,0,,25,2,0,1,0
34,2018-12-14,New Jersey Devils,4,5,L,OT,,22,10,1,3,0,,42,6,1,5,0
35,2018-12-16,New York Rangers,4,3,W,OT,,41,8,1,2,0,,30,4,1,4,0
36,2018-12-17,Columbus Blue Jackets,0,1,L,,,28,4,0,1,0,,31,2,0,2,0
37,2018-12-20,New York Islanders,4,2,W,,,47,6,1,2,0,,21,6,0,2,0
38,2018-12-22,Montreal Canadiens,3,4,L,OT,,26,4,0,2,0,,47,4,0,2,0
39,2018-12-23,Los Angeles Kings,3,4,L,OT,,25,4,1,1,0,,32,2,1,2,0
40,2018-12-27,Colorado Avalanche,2,1,W,,,43,8,0,4,0,,32,8,1,4,0
41,2018-12-29,Los Angeles Kings,4,1,W,,,32,4,0,1,0,,31,2,0,2,0
42,2018-12-30,Arizona Coyotes,5,1,W,,,37,12,0,3,1,,30,6,1,6,0
43,2019-01-01,Los Angeles Kings,2,0,W,,,48,4,0,3,0,,17,6,0,2,0
44,2019-01-04,Anaheim Ducks,3,2,W,,,42,6,0,3,0,,27,6,1,3,0
45,2019-01-06,New Jersey Devils,3,2,W,,,28,4,0,2,0,,38,4,0,2,0
46,2019-01-08,New York Rangers,4,2,W,,,31,9,1,3,0,,29,21,0,2,0
