,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
47,2019-01-10,San Jose Sharks,2,3,L,,,38,4,0,3,0,,27,6,0,2,0
48,2019-01-12,Chicago Blackhawks,4,3,W,OT,,34,8,0,2,0,,23,4,2,4,0
49,2019-01-15,Winnipeg Jets,1,4,L,,,44,4,0,6,0,,27,12,0,2,1
50,2019-01-19,Pittsburgh Penguins,7,3,W,,,35,4,1,2,0,,37,4,0,2,0
51,2019-01-21,Minnesota Wild,2,4,L,,,32,4,1,5,0,,22,10,0,2,0
52,2019-01-23,Nashville Predators,1,2,L,,,48,8,0,5,0,,27,12,0,2,0
53,2019-02-01,Carolina Hurricanes,2,5,L,,,25,6,1,2,0,,32,4,0,3,0
54,2019-02-02,Florida Panthers,1,3,L,,,35,2,0,1,0,,25,2,0,1,0
55,2019-02-05,Tampa Bay Lightning,3,2,W,SO,,37,10,0,3,0,,26,6,1,5,0
56,2019-02-07,Detroit Red Wings,4,3,W,,,32,8,1,2,0,,39,4,1,4,0
57,2019-02-09,Columbus Blue Jackets,3,4,L,,,23,6,0,1,1,,33,4,1,2,0
58,2019-02-12,Arizona Coyotes,2,5,L,,,43,6,0,1,0,,26,2,1,3,0
59,2019-02-14,Toronto Maple Leafs,3,6,L,,,33,12,0,3,1,,43,6,2,6,1
60,2019-02-16,Nashville Predators,5,1,W,,,50,6,1,3,0,,30,6,0,3,0
61,2019-02-18,Colorado Avalanche,0,3,L,,,40,6,0,4,0,,38,8,0,3,0
62,2019-02-20,Boston Bruins,2,3,L,SO,,33,6,0,2,0,,27,4,0,3,0
63,2019-02-22,Winnipeg Jets,3,6,L,,,32,8,0,3,0,,29,6,2,4,0
64,2019-02-26,Dallas Stars,4,1,W,,,48,6,1,3,0,,24,8,1,2,0
65,2019-02-28,Florida Panthers,6,5,W,SO,,46,10,0,1,0,,37,4,2,3,0
66,2019-03-01,Anaheim Ducks,3,0,W,,,34,4,1,2,0,,34,4,0,2,0
67,2019-03-03,Vancouver Canucks,3,0,W,,,48,0,0,2,0,,19,4,0,0,0
68,2019-03-06,Calgary Flames,2,1,W,,,38,10,1,4,0,,34,12,0,3,0
69,2019-03-09,Vancouver Canucks,6,2,W,,,33,2,0,2,0,,31,4,0,1,0
70,2019-03-10,Calgary Flames,3,6,L,,,28,6,0,2,0,,35,6,1,2,0
71,2019-03-15,Dallas Stars,2,1,W,,,37,10,0,2,0,,41,4,0,5,0
72,2019-03-17,Edmonton Oilers,6,3,W,,,34,2,0,3,0,,19,6,1,1,0
73,2019-03-18,San Jose Sharks,7,3,W,,,42,12,3,6,0,,39,14,1,5,0
74,2019-03-21,Winnipeg Jets,5,0,W,,,38,9,0,2,1,,20,9,0,2,0
75,2019-03-23,Detroit Red Wings,2,3,L,OT,,30,4,0,3,1,,30,6,1,2,0
76,2019-03-25,St. Louis Blues,1,3,L,,,25,2,1,1,0,,22,2,0,1,0
77,2019-03-27,Colorado Avalanche,3,4,L,,,37,8,0,3,0,,30,10,1,2,0
78,2019-03-29,Minnesota Wild,2,3,L,,,37,8,0,2,0,,32,4,2,4,0
79,2019-03-30,San Jose Sharks,3,4,L,OT,,26,27,0,2,0,,34,15,1,3,0
80,2019-04-01,Edmonton Oilers,3,1,W,,,31,4,0,2,1,,19,4,0,2,0
81,2019-04-04,Arizona Coyotes,1,4,L,,,38,6,0,1,0,,41,4,0,2,0
82,2019-04-06,Los Angeles Kings,2,5,L,,,31,6,0,2,0,,32,4,1,3,0
