Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
70,2023-03-21,St. Louis Blues,3.0,2.0,W,30.0,6.0,22.0,6
71,2023-03-23,St. Louis Blues,3.0,4.0,L,28.0,13.0,22.0,7
72,2023-03-25,Philadelphia Flyers,0.0,3.0,L,29.0,6.0,22.0,14
73,2023-03-28,Pittsburgh Penguins,7.0,4.0,W,25.0,12.0,39.0,6
74,2023-03-30,Carolina Hurricanes,3.0,2.0,W,22.0,6.0,33.0,6
75,2023-03-31,Winnipeg Jets,2.0,6.0,L,25.0,6.0,29.0,2
76,2023-04-02,Toronto Maple Leafs,5.0,2.0,W,24.0,8.0,45.0,14
77,2023-04-04,Montreal Canadiens,5.0,0.0,W,21.0,8.0,24.0,8
78,2023-04-06,Buffalo Sabres,6.0,7.0,L,32.0,8.0,36.0,8
79,2023-04-08,Pittsburgh Penguins,1.0,5.0,L,20.0,8.0,28.0,6
80,2023-04-10,Dallas Stars,1.0,6.0,L,20.0,8.0,22.0,6
81,2023-04-11,Carolina Hurricanes,1.0,4.0,L,21.0,2.0,28.0,4
82,2023-04-13,Tampa Bay Lightning,0.0,5.0,L,32.0,6.0,32.0,6
