Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
1,2022-10-14,Montreal Canadiens,3.0,0.0,W,40.0,6.0,29.0,6
2,2022-10-15,New Jersey Devils,5.0,2.0,W,22.0,10.0,39.0,12
3,2022-10-17,Los Angeles Kings,4.0,5.0,L,33.0,8.0,36.0,8
4,2022-10-21,Chicago Blackhawks,3.0,4.0,L,28.0,10.0,29.0,14
5,2022-10-23,Anaheim Ducks,5.0,1.0,W,41.0,12.0,33.0,14
6,2022-10-25,New Jersey Devils,2.0,6.0,L,22.0,2.0,41.0,6
7,2022-10-27,Boston Bruins,1.0,5.0,L,29.0,14.0,33.0,10
8,2022-10-29,Minnesota Wild,2.0,1.0,W,25.0,4.0,31.0,6
9,2022-10-31,Buffalo Sabres,3.0,8.0,L,18.0,12.0,46.0,4
10,2022-11-03,Washington Capitals,3.0,1.0,W,26.0,10.0,34.0,8
11,2022-11-05,New York Islanders,3.0,0.0,W,26.0,6.0,24.0,10
12,2022-11-06,New York Rangers,3.0,2.0,W,36.0,4.0,29.0,8
13,2022-11-08,Montreal Canadiens,2.0,3.0,L,43.0,4.0,33.0,35
14,2022-11-10,New York Rangers,2.0,8.0,L,20.0,6.0,33.0,4
15,2022-11-12,Los Angeles Kings,3.0,4.0,L,21.0,6.0,21.0,8
16,2022-11-15,Anaheim Ducks,2.0,3.0,L,33.0,10.0,30.0,8
17,2022-11-17,San Jose Sharks,7.0,4.0,W,21.0,2.0,25.0,6
18,2022-11-19,Columbus Blue Jackets,6.0,1.0,W,37.0,6.0,28.0,8
19,2022-11-23,Nashville Predators,3.0,0.0,W,29.0,6.0,26.0,4
20,2022-11-25,Arizona Coyotes,4.0,3.0,W,36.0,15.0,24.0,15
21,2022-11-28,Toronto Maple Leafs,2.0,4.0,L,44.0,4.0,25.0,6
22,2022-11-30,Buffalo Sabres,4.0,5.0,L,45.0,6.0,34.0,16
23,2022-12-03,Vegas Golden Knights,1.0,4.0,L,25.0,2.0,25.0,6
24,2022-12-04,Columbus Blue Jackets,4.0,2.0,W,35.0,6.0,34.0,10
25,2022-12-06,Tampa Bay Lightning,4.0,2.0,W,26.0,6.0,46.0,4
26,2022-12-08,Florida Panthers,1.0,5.0,L,20.0,16.0,41.0,8
27,2022-12-10,Dallas Stars,2.0,3.0,L,26.0,8.0,33.0,4
28,2022-12-13,Carolina Hurricanes,0.0,1.0,L,27.0,4.0,27.0,6
29,2022-12-14,Minnesota Wild,1.0,4.0,L,17.0,13.0,22.0,11
30,2022-12-17,Ottawa Senators,3.0,6.0,L,32.0,10.0,28.0,14
31,2022-12-19,Washington Capitals,3.0,4.0,L,19.0,8.0,42.0,8
32,2022-12-21,Tampa Bay Lightning,7.0,4.0,W,31.0,14.0,38.0,10
33,2022-12-28,Pittsburgh Penguins,5.0,4.0,W,46.0,4.0,31.0,8
34,2022-12-29,Buffalo Sabres,3.0,6.0,L,31.0,10.0,35.0,6
35,2022-12-31,Ottawa Senators,4.0,2.0,W,25.0,8.0,23.0,8
36,2023-01-04,New Jersey Devils,1.0,5.0,L,33.0,6.0,27.0,4
37,2023-01-06,Florida Panthers,2.0,3.0,L,31.0,4.0,20.0,10
38,2023-01-07,Toronto Maple Leafs,1.0,4.0,L,23.0,10.0,29.0,8
39,2023-01-10,Winnipeg Jets,7.0,5.0,W,23.0,6.0,37.0,6
40,2023-01-12,Toronto Maple Leafs,4.0,1.0,W,23.0,6.0,33.0,10
41,2023-01-14,Columbus Blue Jackets,3.0,4.0,L,28.0,2.0,25.0,4
42,2023-01-16,Colorado Avalanche,3.0,6.0,L,29.0,10.0,27.0,6
43,2023-01-17,Arizona Coyotes,3.0,4.0,L,40.0,4.0,23.0,6
44,2023-01-19,Vegas Golden Knights,3.0,2.0,W,25.0,0.0,35.0,2
45,2023-01-21,Philadelphia Flyers,1.0,2.0,L,31.0,6.0,25.0,8
46,2023-01-24,San Jose Sharks,3.0,2.0,W,35.0,4.0,30.0,6
47,2023-01-26,Montreal Canadiens,4.0,3.0,W,42.0,9.0,23.0,9
48,2023-01-27,New York Islanders,0.0,2.0,L,23.0,10.0,29.0,10
49,2023-02-07,Edmonton Oilers,2.0,5.0,L,32.0,14.0,27.0,18
50,2023-02-09,Calgary Flames,2.0,1.0,W,17.0,6.0,36.0,10
51,2023-02-11,Vancouver Canucks,5.0,2.0,W,25.0,6.0,34.0,12
52,2023-02-13,Vancouver Canucks,6.0,1.0,W,23.0,8.0,30.0,2
53,2023-02-15,Edmonton Oilers,5.0,4.0,W,23.0,6.0,45.0,4
54,2023-02-16,Calgary Flames,5.0,2.0,W,24.0,4.0,35.0,8
55,2023-02-18,Seattle Kraken,2.0,4.0,L,23.0,16.0,26.0,16
56,2023-02-21,Washington Capitals,3.0,1.0,W,25.0,19.0,27.0,6
57,2023-02-23,New York Rangers,4.0,1.0,W,23.0,11.0,31.0,15
58,2023-02-25,Tampa Bay Lightning,0.0,3.0,L,45.0,4.0,18.0,8
59,2023-02-27,Ottawa Senators,2.0,6.0,L,24.0,12.0,42.0,8
60,2023-02-28,Ottawa Senators,1.0,6.0,L,17.0,33.0,27.0,27
61,2023-03-02,Seattle Kraken,4.0,5.0,L,29.0,15.0,37.0,11
62,2023-03-04,New York Islanders,1.0,4.0,L,23.0,4.0,36.0,6
63,2023-03-05,Philadelphia Flyers,1.0,3.0,L,26.0,8.0,37.0,6
64,2023-03-08,Chicago Blackhawks,4.0,3.0,W,41.0,6.0,20.0,6
65,2023-03-11,Boston Bruins,2.0,3.0,L,31.0,8.0,38.0,4
66,2023-03-12,Boston Bruins,5.0,3.0,W,26.0,12.0,33.0,12
67,2023-03-14,Nashville Predators,1.0,2.0,L,29.0,10.0,16.0,8
68,2023-03-18,Colorado Avalanche,1.0,5.0,L,34.0,8.0,23.0,8
69,2023-03-20,Florida Panthers,2.0,5.0,L,22.0,6.0,25.0,4
